ds,Open,High,Low,y,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,High_Low_Diff,Open_Close_Diff,Average_Price,Volume_Weighted_Price,Triple_Multiplicative_ETS,Triple_Additive_ETS,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-15,20952.76,21050.74,20551.01,20871.5,178542.22549,1673827199999,3710526606.138964,5194354,88310.83908,1835436631.7038703,499.7300000000032,81.2599999999984,20824.416666666668,20782.347682491432,27471.787178233382,28003.277646039467,21084.31652092,14015.596849603078,30118.383650622487,21084.31652092,21084.31652092,1321.7068847185164,1321.7068847185164,1321.7068847185164,1394.4657377624,1394.4657377624,1394.4657377624,-72.75885304388376,-72.75885304388376,-72.75885304388376,0.0,0.0,0.0,22406.023405638516
2023-01-16,20872.99,21474.05,20611.48,21185.65,293078.08262,1673913599999,6168654053.042638,6856434,145352.66942,3059597458.3853526,862.5699999999997,-312.65999999999985,21090.393333333333,21047.817693828743,21591.195883408418,21844.24148035874,21135.18733970716,14357.744589619739,30519.628819056372,21135.18733970716,21135.18733970716,1506.2312167982734,1506.2312167982734,1506.2312167982734,1394.4657377624,1394.4657377624,1394.4657377624,111.7654790358735,111.7654790358735,111.7654790358735,0.0,0.0,0.0,22641.418556505436
2023-01-17,21185.65,21647.45,20841.31,21134.81,275407.74409,1673999999999,5840585769.490093,6440138,137121.64311,2908227174.2490306,806.1399999999994,50.840000000000146,21207.85666666667,21207.049891746905,21235.59250684262,21495.871983963763,21186.05815849432,14519.553701615529,30767.93772380068,21186.05815849432,21186.05815849432,1379.9552813469436,1379.9552813469436,1379.9552813469436,1394.4657377624,1394.4657377624,1394.4657377624,-14.510456415456362,-14.510456415456362,-14.510456415456362,0.0,0.0,0.0,22566.013439841263
2023-01-18,21132.29,21650.0,20407.15,20677.47,350916.01949,1674086399999,7399719195.246726,7617173,173174.4169,3652037808.316215,1242.8499999999985,454.8199999999997,20911.54,21086.8663277357,21366.51637557838,21695.846099306444,21236.92897728148,14588.839385066965,31493.84071578765,21236.92897728148,21236.92897728148,1535.3739379359738,1535.3739379359738,1535.3739379359738,1394.4657377624,1394.4657377624,1394.4657377624,140.90820017357396,140.90820017357396,140.90820017357396,0.0,0.0,0.0,22772.302915217453
2023-01-19,20677.47,21192.0,20659.19,21071.59,251385.84925,1674172799999,5243024330.011201,5819932,124924.23436,2605629874.089028,532.8100000000013,-394.119999999999,20974.26,20856.48156271947,20574.624949247154,20432.968930746996,21287.799796068644,14366.251119460865,30164.962839079857,21287.799796068644,21287.799796068644,1318.6778203835488,1318.6778203835488,1318.6778203835488,1394.4657377624,1394.4657377624,1394.4657377624,-75.78791737885128,-75.78791737885128,-75.78791737885128,0.0,0.0,0.0,22606.477616452194
2023-01-20,21071.59,22755.93,20861.28,22667.21,338079.13659,1674259199999,7256172889.710533,7382435,170200.04869,3654038898.270928,1894.6500000000015,-1595.619999999999,22094.806666666667,21462.94196944291,21037.444124584476,20765.520037303762,21338.670614855804,14383.569593036345,31008.44517656479,21338.670614855804,21338.670614855804,1404.461399302432,1404.461399302432,1404.461399302432,1394.4657377624,1394.4657377624,1394.4657377624,9.995661540032,9.995661540032,9.995661540032,0.0,0.0,0.0,22743.132014158236
2023-01-21,22666.0,23371.8,22422.0,22783.55,346445.48432,1674345599999,7938935168.532014,7796520,172663.17131,3956916674.402963,949.7999999999993,-117.54999999999927,22859.11666666667,22915.395142512774,22550.699049128903,22526.93775027355,21389.541433642964,15171.472119603399,30457.658944517596,21389.541433642964,21389.541433642964,1294.8536238506535,1294.8536238506535,1294.8536238506535,1394.4657377624,1394.4657377624,1394.4657377624,-99.61211391174655,-99.61211391174655,-99.61211391174655,0.0,0.0,0.0,22684.395057493617
2023-01-22,22783.35,23078.71,22292.37,22707.88,253577.75286,1674431999999,5775552321.544121,6603827,125842.91663,2866409820.7225704,786.3400000000001,75.46999999999753,22692.986666666668,22776.257997415083,22676.22293740925,22611.57201501121,21440.412252430127,14241.046586758559,31094.896418745077,21440.412252430127,21440.412252430127,1321.7068847184262,1321.7068847184262,1321.7068847184262,1394.4657377624,1394.4657377624,1394.4657377624,-72.75885304397394,-72.75885304397394,-72.75885304397394,0.0,0.0,0.0,22762.119137148555
2023-01-23,22706.02,23180.0,22500.0,22916.45,293588.37938,1674518399999,6704191295.97568,7258655,145854.70936,3330927704.48361,680.0,-210.4300000000003,22865.483333333334,22835.34283657137,22870.762403231547,22943.781611042898,21491.283071217284,15067.221742137526,31587.859632937554,21491.283071217284,21491.283071217284,1506.2312167989553,1506.2312167989553,1506.2312167989553,1394.4657377624,1394.4657377624,1394.4657377624,111.76547903655555,111.76547903655555,111.76547903655555,0.0,0.0,0.0,22997.51428801624
2023-01-24,22917.81,23162.2,22462.93,22632.89,293158.78254,1674604799999,6721432962.573841,7395584,144239.84356,3307407342.13858,699.2700000000004,284.9200000000019,22752.673333333336,22927.619306976543,22556.680508351354,21882.930789924587,21542.153890004447,14083.138768224566,30859.961628034376,21542.153890004447,21542.153890004447,1379.955281347131,1379.955281347131,1379.955281347131,1394.4657377624,1394.4657377624,1394.4657377624,-14.510456415269084,-14.510456415269084,-14.510456415269084,0.0,0.0,0.0,22922.109171351578
2023-01-25,22631.94,23816.73,22300.0,23060.94,346042.83223,1674691199999,7875590359.115837,8060446,172647.90115,3929821773.9651175,1516.7299999999996,-429.0,23059.22333333333,22759.004451452605,22843.341470367333,23166.082825808015,21593.024708791607,14393.380824301374,32304.124402081663,21593.024708791607,21593.024708791607,1535.373937935989,1535.373937935989,1535.373937935989,1394.4657377624,1394.4657377624,1394.4657377624,140.90820017358908,140.90820017358908,140.90820017358908,0.0,0.0,0.0,23128.398646727597
2023-01-26,23060.42,23282.47,22850.01,23009.65,288924.43581,1674777599999,6664592468.337928,7181086,143185.08341,3303064271.051174,432.46000000000276,50.7699999999968,23047.376666666667,23066.90484539231,23033.13998835908,22627.772487371498,21643.895527578767,14269.270469414687,31147.315913022434,21643.895527578767,21643.895527578767,1318.6778203835995,1318.6778203835995,1318.6778203835995,1394.4657377624,1394.4657377624,1394.4657377624,-75.78791737880061,-75.78791737880061,-75.78791737880061,0.0,0.0,0.0,22962.573347962367
2023-01-27,23009.65,23500.0,22534.88,23074.16,280833.86315,1674863999999,6461707755.053915,7079096,139699.27638,3214623770.8450403,965.119999999999,-64.5099999999984,23036.346666666668,23009.004977446628,22559.545883984436,22214.46942019024,21694.766346365926,15032.207460903182,31283.847790394277,21694.766346365926,21694.766346365926,1404.4613993030773,1404.4613993030773,1404.4613993030773,1394.4657377624,1394.4657377624,1394.4657377624,9.995661540677487,9.995661540677487,9.995661540677487,0.0,0.0,0.0,23099.227745669003
2023-01-28,23074.16,23189.0,22878.46,23022.6,148115.71085,1674950399999,3408985411.316586,4181816,73861.83566,1700057503.749539,310.5400000000009,51.56000000000131,23030.02,23015.690852464257,23097.706476593492,23145.972263114643,21745.63716515309,15591.087851621307,31091.229757955156,21745.63716515309,21745.63716515309,1294.853623850143,1294.853623850143,1294.853623850143,1394.4657377624,1394.4657377624,1394.4657377624,-99.61211391225709,-99.61211391225709,-99.61211391225709,0.0,0.0,0.0,23040.490789003234
2023-01-29,23021.4,23960.54,22967.76,23742.3,295688.79204,1675036799999,6941922954.136406,7030837,149507.5061,3510026672.7997174,992.7800000000025,-720.8999999999978,23556.86666666667,23477.125751852378,23103.19924534141,23198.50401210654,21796.507983940246,14738.15972256585,31000.138757473036,21796.507983940246,21796.507983940246,1321.706884718336,1321.706884718336,1321.706884718336,1394.4657377624,1394.4657377624,1394.4657377624,-72.75885304406411,-72.75885304406411,-72.75885304406411,0.0,0.0,0.0,23118.214868658582
2023-01-30,23743.37,23800.51,22500.0,22826.15,302405.90121,1675123199999,7020727239.059652,7790224,149096.53066,3461492907.172606,1300.5099999999984,917.2199999999975,23042.22,23216.237550153637,24011.959546526836,24276.777179345954,21847.37880272741,15581.74731119194,31532.17648416819,21847.37880272741,21847.37880272741,1506.2312167986129,1506.2312167986129,1506.2312167986129,1394.4657377624,1394.4657377624,1394.4657377624,111.7654790362131,111.7654790362131,111.7654790362131,0.0,0.0,0.0,23353.610019526022
2023-01-31,22827.38,23320.0,22714.77,23125.13,264649.34909,1675209599999,6083858924.538486,6798411,133028.12717,3058369006.2407,605.2299999999996,-297.75,23053.300000000003,22988.37667826469,22785.29960809782,22545.095424047646,21898.24962151457,14760.987140944162,31055.68013762256,21898.24962151457,21898.24962151457,1379.9552813470648,1379.9552813470648,1379.9552813470648,1394.4657377624,1394.4657377624,1394.4657377624,-14.510456415335169,-14.510456415335169,-14.510456415335169,0.0,0.0,0.0,23278.204902861635
2023-02-01,23125.13,23812.66,22760.23,23732.66,310790.42271,1675295999999,7212542002.325099,7863213,156107.58478,3623730152.719127,1052.4300000000003,-607.5299999999988,23435.183333333334,23207.092224508975,22766.91515477799,22363.90669379082,21949.12044030173,15320.772072316588,31598.358041741303,21949.12044030173,21949.12044030173,1535.3739379361025,1535.3739379361025,1535.3739379361025,1394.4657377624,1394.4657377624,1394.4657377624,140.90820017370228,140.90820017370228,140.90820017370228,0.0,0.0,0.0,23484.494378237832
2023-02-02,23731.41,24255.0,23363.27,23488.94,364177.20751,1675382399999,8673696845.80511,9102300,181814.20318,4330715913.906593,891.7299999999996,242.47000000000116,23702.403333333335,23817.242449383488,23891.379339067655,24083.242912125246,21999.99125908889,14901.944895253766,32357.769820967973,21999.99125908889,21999.99125908889,1318.67782038365,1318.67782038365,1318.67782038365,1394.4657377624,1394.4657377624,1394.4657377624,-75.78791737874995,-75.78791737874995,-75.78791737874995,0.0,0.0,0.0,23318.66907947254
2023-02-03,23489.33,23715.7,23204.62,23431.9,332571.02904,1675468799999,7806490899.914181,8007846,166143.33246,3900042090.516365,511.08000000000175,57.43000000000029,23450.74,23473.153757404572,23459.96983611486,23272.70676841051,22050.862077876052,15172.765045633312,31843.699105424235,22050.862077876052,22050.862077876052,1404.46139930232,1404.46139930232,1404.46139930232,1394.4657377624,1394.4657377624,1394.4657377624,9.99566153991984,9.99566153991984,9.99566153991984,0.0,0.0,0.0,23455.323477178372
2023-02-04,23431.9,23587.78,23253.96,23326.84,166126.47295,1675555199999,3886777607.796051,4852404,81863.93145,1915443497.6889515,333.8199999999997,105.06000000000131,23389.52666666667,23396.497492400722,23403.32571489452,23364.708788132753,22101.73289666321,15463.264543447922,31582.72099035058,22101.73289666321,22101.73289666321,1294.8536238509898,1294.8536238509898,1294.8536238509898,1394.4657377624,1394.4657377624,1394.4657377624,-99.61211391141025,-99.61211391141025,-99.61211391141025,0.0,0.0,0.0,23396.5865205142
