,ds,yhat,yhat_lower,yhat_upper
2025-01-13,2025-01-13,94063.3000121257,91286.37122588893,96840.22879836248
2025-01-14,2025-01-14,93980.70398722666,90124.43780820274,97836.97016625058
2025-01-15,2025-01-15,94885.01174383175,90121.57131001487,99648.45217764864
2025-01-16,2025-01-16,94615.11398168493,89157.29964355225,100072.92831981761
2025-01-17,2025-01-17,94210.88443427742,88135.80487430937,100285.96399424548
2025-01-18,2025-01-18,93919.42762053185,87247.10481835034,100591.75042271335
2025-01-19,2025-01-19,94607.50649740713,87403.54915555903,101811.46383925523
2025-01-20,2025-01-20,94840.26932960805,87129.22299864287,102551.31566057324
2025-01-21,2025-01-21,94252.61623113144,86107.9532257354,102397.27923652748
2025-01-22,2025-01-22,93994.24948681296,85396.89784256618,102591.60113105974
2025-01-23,2025-01-23,94325.03129568294,85304.57696309958,103345.48562826631
2025-01-24,2025-01-24,94903.05691195396,85476.77122856186,104329.34259534605
2025-01-25,2025-01-25,94427.50576778073,84630.41338507796,104224.5981504835
2025-01-26,2025-01-26,94003.51564679701,83844.89603419007,104162.13525940395
2025-01-27,2025-01-27,94193.29811780337,83663.92374488899,104722.67249071774
2025-01-28,2025-01-28,94770.89576602518,83896.95582789565,105644.8357041547
2025-01-29,2025-01-29,94660.34149587427,83455.27595950125,105865.40703224728
2025-01-30,2025-01-30,94040.57241093481,82523.72983031947,105557.41499155015
2025-01-31,2025-01-31,94103.23435847489,82261.67344841547,105944.7952685343
2025-02-01,2025-02-01,94609.91179969024,82455.3890297293,106764.43456965117
2025-02-02,2025-02-02,94784.92154338781,82334.53704543175,107235.30604134388
2025-02-03,2025-02-03,94196.2981297414,81461.30354245618,106931.2927170266
2025-02-04,2025-02-04,94003.90498850927,80982.79878153303,107025.01119548551
2025-02-05,2025-02-05,94474.99894958826,81163.6587647353,107786.33913444122
2025-02-06,2025-02-06,94795.1474223905,81212.48586581371,108377.80897896728
2025-02-07,2025-02-07,94400.24012070104,80555.04278141317,108245.43745998891
2025-02-08,2025-02-08,93969.32306081407,79863.8557754942,108074.79034613394
2025-02-09,2025-02-09,94322.80252456336,79950.4650716114,108695.13997751533
2025-02-10,2025-02-10,94758.09427083856,80129.39161509207,109386.79692658504
2025-02-11,2025-02-11,94562.81737071459,79691.01189288225,109434.62284854693
2025-02-12,2025-02-12,94038.64017420451,78924.79972176944,109152.48062663959
2025-02-13,2025-02-13,94161.63146710997,78801.84503877364,109521.4178954463
2025-02-14,2025-02-14,94682.94990380247,79079.44025640503,110286.4595511999
2025-02-15,2025-02-15,94673.39357178428,78840.56651331624,110506.22063025233
2025-02-16,2025-02-16,94169.21096560599,78110.3329960451,110228.08893516689
2025-02-17,2025-02-17,94050.25848826957,77761.64511766649,110338.87185887265
2025-02-18,2025-02-18,94552.9797543056,78033.79735588668,111072.16215272453
2025-02-19,2025-02-19,94743.5089976916,78004.32538259808,111482.69261278513
2025-02-20,2025-02-20,94315.24576255247,77363.6451027095,111266.84642239544
2025-02-21,2025-02-21,94016.65364238896,76848.85958477666,111184.44770000127
2025-02-22,2025-02-22,94390.29440276233,77004.10988497792,111776.47892054674
2025-02-23,2025-02-23,94758.273423901,77160.14595405888,112356.40089374312
2025-02-24,2025-02-24,94462.3101800097,76661.8192303098,112262.80112970961
2025-02-25,2025-02-25,94047.82477072797,76043.60157605572,112052.04796540021
2025-02-26,2025-02-26,94239.7025904404,76027.67260243154,112451.73257844926
2025-02-27,2025-02-27,94703.86996294738,76287.78641868019,113119.95350721458
2025-02-28,2025-02-28,94596.6166131838,75985.50048543912,113207.73274092848
2025-03-01,2025-03-01,94128.02725597782,75323.98766158128,112932.06685037437
2025-03-02,2025-03-02,94128.71808260783,75126.78507077269,113130.65109444296
2025-03-03,2025-03-03,94594.56415851819,75395.88163855328,113793.24667848309
2025-03-04,2025-03-04,94691.43635647542,75303.80614105733,114079.0665718935
2025-03-05,2025-03-05,94247.85503223866,74675.8497687272,113819.86029575011
2025-03-06,2025-03-06,94066.47096114272,74306.18790316508,113826.75401912037
2025-03-07,2025-03-07,94458.99148857062,74508.7767804669,114409.20619667435
2025-03-08,2025-03-08,94726.81195039862,74593.01320236828,114860.61069842897
2025-03-09,2025-03-09,94389.03212375272,74077.55301772733,114700.51122977812
2025-03-10,2025-03-10,94058.99543810498,73568.0222387498,114549.96863746014
2025-03-11,2025-03-11,94321.35854815166,73647.33442082675,114995.38267547658
2025-03-12,2025-03-12,94701.72583579781,73848.82699913278,115554.62467246284
2025-03-13,2025-03-13,94523.48540612787,73498.34936536536,115548.62144689039
2025-03-14,2025-03-14,94108.32508157799,72911.2420906216,115305.40807253438
2025-03-15,2025-03-15,94201.43100526484,72828.3412381863,115574.52077234337
2025-03-16,2025-03-16,94626.74656340198,73079.19071344408,116174.30241335987
2025-03-17,2025-03-17,94626.5050114058,72911.14487678724,116341.86514602436
2025-03-18,2025-03-18,94204.39786251872,72323.45859171628,116085.33713332115
2025-03-19,2025-03-19,94118.35041359618,72068.27702628347,116168.4238009089
2025-03-20,2025-03-20,94516.51502398832,72296.52666447601,116736.50338350063
2025-03-21,2025-03-21,94683.64232651687,72299.45172047662,117067.83293255712
2025-03-22,2025-03-22,94326.77096010536,71782.31648347844,116871.22543673229
2025-03-23,2025-03-23,94086.05675108734,71378.88936909058,116793.22413308409
2025-03-24,2025-03-24,94389.9115949897,71517.66518894496,117262.15800103443
2025-03-25,2025-03-25,94688.89445375149,71655.58138990746,117722.20751759553
2025-03-26,2025-03-26,94452.56782914166,71263.28709231544,117641.84856596787
2025-03-27,2025-03-27,94107.61518805542,70761.4725471589,117453.75782895194
2025-03-28,2025-03-28,94269.43479290146,70763.23369374168,117775.63589206124
2025-03-29,2025-03-29,94643.52507886653,70979.30986229928,118307.74029543377
2025-03-30,2025-03-30,94561.11190294211,70744.31340226455,118377.91040361967
2025-03-31,2025-03-31,94175.66343563622,70207.17209805032,118144.15477322212
2025-04-01,2025-04-01,94175.99556012527,70052.51911083417,118299.47200941638
2025-04-02,2025-04-02,94557.19361492468,70278.89586261082,118835.49136723853
2025-04-03,2025-04-03,94635.38695284777,70207.23062780408,119063.54327789145
2025-04-04,2025-04-04,94276.03595503829,69700.55681823585,118851.51509184072
2025-04-05,2025-04-05,94123.95942072019,69398.4877036719,118849.43113776848
2025-04-06,2025-04-06,94446.89771398205,69570.02790696468,119323.76752099942
2025-04-07,2025-04-07,94664.2521770511,69639.87885194096,119688.62550216123
2025-04-08,2025-04-08,94390.46977488286,69222.3228170068,119558.61673275892
