Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-02-07,0.3823,0.3998,0.3814,0.3989,107246776.8,1675814399999,41771566.35595,104067,54890952.0,21395306.38199,0
2023-02-08,0.3989,0.4035,0.3853,0.3942,92872527.4,1675900799999,36786726.66031,89570,45702981.4,18104835.21021,0
2023-02-09,0.3942,0.3957,0.3543,0.3622,151503834.4,1675987199999,57086936.96953,147128,72325490.7,27259377.19044,0
2023-02-10,0.3622,0.3656,0.3534,0.3581,104289819.1,1676073599999,37588836.43568,101653,50105196.1,18063652.88862,0
2023-02-11,0.358,0.3702,0.3567,0.3684,55904954.9,1676159999999,20214834.50522,53308,26913298.0,9736499.46201,0
2023-02-12,0.3685,0.3738,0.3596,0.3641,57416092.2,1676246399999,21128707.77172,60634,28403827.9,10454436.1999,0
2023-02-13,0.3641,0.3657,0.345,0.3593,114427322.0,1676332799999,40573133.72658,113480,53431788.2,18951972.47123,0
2023-02-14,0.3593,0.3931,0.3545,0.3867,156990175.9,1676419199999,58628401.20211,149699,82589661.1,30859079.29432,0
2023-02-15,0.3868,0.42,0.3819,0.419,151591225.3,1676505599999,59778979.44605,154132,82923592.9,32705015.23449,0
2023-02-16,0.419,0.4213,0.3862,0.3874,174768994.0,1676591999999,70700360.39255,178497,84267748.8,34116379.58747,0
2023-02-17,0.3874,0.4098,0.3854,0.4033,123524213.6,1676678399999,49269938.14967,122095,62058671.2,24747451.94108,0
2023-02-18,0.4033,0.4184,0.3976,0.406,89590271.5,1676764799999,36365358.17068,84846,45868526.3,18613623.49162,0
2023-02-19,0.406,0.4122,0.3968,0.3995,98181230.1,1676851199999,39725311.70805,108949,45484690.9,18406188.83204,0
2023-02-20,0.3994,0.4098,0.3893,0.4038,116906377.7,1676937599999,47218475.77844,115745,57874925.7,23378181.95623,0
2023-02-21,0.4037,0.4059,0.3855,0.3925,119823429.0,1677023999999,47413672.78624,110747,57083255.3,22597573.17159,0
2023-02-22,0.3926,0.3929,0.3769,0.3888,123152287.0,1677110399999,47282477.88503,111822,59787851.5,22951709.94963,0
2023-02-23,0.3889,0.3949,0.3794,0.3824,81228997.5,1677196799999,31463531.76665,83429,39421496.5,15271469.52866,0
2023-02-24,0.3824,0.3852,0.358,0.3658,136530140.7,1677283199999,50738363.87517,127749,62596698.4,23263710.96111,0
2023-02-25,0.3657,0.3677,0.3512,0.362,93356389.8,1677369599999,33675461.15039,80371,45265329.7,16327230.54597,0
2023-02-26,0.3621,0.3704,0.3577,0.3691,62253729.4,1677455999999,22631805.59683,57750,31115899.0,11313704.29942,0
2023-02-27,0.369,0.3702,0.3576,0.3647,71396733.7,1677542399999,25990074.91173,71429,33858556.8,12323964.73522,0
2023-02-28,0.3647,0.368,0.3485,0.3517,76748794.6,1677628799999,27548861.71386,86272,36452572.5,13087868.10199,0
2023-03-01,0.3518,0.3644,0.3493,0.3601,67671797.7,1677715199999,24311805.19254,75377,33270167.6,11949849.25544,0
2023-03-02,0.3601,0.3615,0.3445,0.3504,81854576.8,1677801599999,28749147.23269,78671,40177243.4,14113214.24989,0
