Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-01-21,22666.0,23371.8,22422.0,22783.55,346445.48432,1674345599999,7938935168.532014,7796520,172663.17131,3956916674.402963,0
2023-01-22,22783.35,23078.71,22292.37,22707.88,253577.75286,1674431999999,5775552321.544121,6603827,125842.91663,2866409820.7225704,0
2023-01-23,22706.02,23180.0,22500.0,22916.45,293588.37938,1674518399999,6704191295.97568,7258655,145854.70936,3330927704.48361,0
2023-01-24,22917.81,23162.2,22462.93,22632.89,293158.78254,1674604799999,6721432962.573841,7395584,144239.84356,3307407342.13858,0
2023-01-25,22631.94,23816.73,22300.0,23060.94,346042.83223,1674691199999,7875590359.115837,8060446,172647.90115,3929821773.9651175,0
2023-01-26,23060.42,23282.47,22850.01,23009.65,288924.43581,1674777599999,6664592468.337928,7181086,143185.08341,3303064271.0511746,0
2023-01-27,23009.65,23500.0,22534.88,23074.16,280833.86315,1674863999999,6461707755.053915,7079096,139699.27638,3214623770.8450403,0
2023-01-28,23074.16,23189.0,22878.46,23022.6,148115.71085,1674950399999,3408985411.316586,4181816,73861.83566,1700057503.749539,0
2023-01-29,23021.4,23960.54,22967.76,23742.3,295688.79204,1675036799999,6941922954.136406,7030837,149507.5061,3510026672.7997174,0
2023-01-30,23743.37,23800.51,22500.0,22826.15,302405.90121,1675123199999,7020727239.059652,7790224,149096.53066,3461492907.172606,0
2023-01-31,22827.38,23320.0,22714.77,23125.13,264649.34909,1675209599999,6083858924.538486,6798411,133028.12717,3058369006.2406993,0
2023-02-01,23125.13,23812.66,22760.23,23732.66,310790.42271,1675295999999,7212542002.325099,7863213,156107.58478,3623730152.719127,0
2023-02-02,23731.41,24255.0,23363.27,23488.94,364177.20751,1675382399999,8673696845.80511,9102300,181814.20318,4330715913.906593,0
2023-02-03,23489.33,23715.7,23204.62,23431.9,332571.02904,1675468799999,7806490899.914181,8007846,166143.33246,3900042090.516365,0
2023-02-04,23431.9,23587.78,23253.96,23326.84,166126.47295,1675555199999,3886777607.796051,4852404,81863.93145,1915443497.6889513,0
2023-02-05,23327.66,23433.33,22743.0,22932.91,209251.33917,1675641599999,4842463016.833934,5903916,103885.22312,2404286621.1203337,0
2023-02-06,22932.91,23158.25,22628.13,22762.52,265371.6069,1675727999999,6076050768.117038,6956395,132350.52989,3030470974.62453,0
2023-02-07,22762.52,23350.25,22745.78,23240.46,308006.72482,1675814399999,7085929136.456849,8293878,154613.24744,3557209786.5153685,0
2023-02-08,23242.42,23452.0,22665.85,22963.0,280056.30717,1675900799999,6457585647.820655,7896433,138627.72636,3196783919.6301227,0
2023-02-09,22961.85,23011.39,21688.0,21796.35,402894.6955,1675987199999,9052973327.197163,9784291,199309.68374,4478800426.302857,0
2023-02-10,21797.83,21938.16,21451.0,21625.19,338591.94247,1676073599999,7369456394.906654,6993675,167419.66937,3644087094.706669,0
2023-02-11,21625.19,21906.32,21599.78,21862.55,177021.58433,1676159999999,3842000897.7975802,4207940,87937.9597,1908638569.7798102,0
2023-02-12,21862.02,22090.0,21630.0,21783.54,204435.65163,1676246399999,4469822441.4372015,4561903,101194.34699,2212545781.0931144,0
2023-02-13,21782.37,21894.99,21351.07,21773.97,295730.76791,1676332799999,6404813758.2696295,6503611,147221.38569,3188732830.1994424,0
2023-02-14,21774.63,22319.08,21532.77,22199.84,361958.40109,1676419199999,7938385476.792084,7695927,182006.71562,3991901041.9023824,0
2023-02-15,22199.84,24380.0,22047.28,24324.05,375669.16111,1676505599999,8604133693.663172,8335550,190798.1552,4372346767.103614,0
2023-02-16,24322.87,25250.0,23505.25,23517.72,450080.68366,1676591999999,11074988148.779009,11006793,224396.77566,5522891581.325578,0
