Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-02-05,6.872,6.895,6.513,6.637,5167240.5,1675641599999,34711583.19741,104531,2520738.58,16929751.80948,0
2023-02-06,6.638,6.789,6.401,6.494,4695000.22,1675727999999,31293927.58745,102106,2317930.31,15461890.13811,0
2023-02-07,6.494,6.949,6.473,6.941,5490955.62,1675814399999,36897896.17402,110153,2786578.32,18726386.88122,0
2023-02-08,6.94,7.02,6.615,6.757,4810790.32,1675900799999,32797697.93291,102416,2372408.53,16181622.87339,0
2023-02-09,6.757,6.976,6.088,6.235,10458985.31,1675987199999,69699170.72612,225560,5005199.24,33389260.6028,0
2023-02-10,6.235,6.308,6.12,6.186,4981218.12,1676073599999,31042967.29972,105344,2452799.61,15292588.25178,0
2023-02-11,6.184,6.293,6.158,6.278,1700227.29,1676159999999,10569191.7018,41348,871584.31,5418953.96756,0
2023-02-12,6.278,6.387,6.074,6.181,2375027.69,1676246399999,14907458.06126,57107,1143568.44,7178907.19365,0
2023-02-13,6.18,6.259,5.878,6.143,6431367.53,1676332799999,38982201.71731,137433,3039890.72,18433638.1242,0
2023-02-14,6.141,6.264,5.95,6.227,5370812.92,1676419199999,33020557.07326,104872,2649280.9,16292368.24133,0
2023-02-15,6.228,6.618,6.16,6.612,6593492.92,1676505599999,41899068.96092,112056,3279447.29,20841745.98162,0
2023-02-16,6.612,6.949,6.318,6.327,9174248.37,1676591999999,60471577.10671,173415,4386994.25,28938315.52002,0
2023-02-17,6.327,7.418,6.291,7.284,18071582.97,1676678399999,126609453.8121,328334,9016899.35,63148153.0768,0
2023-02-18,7.284,7.375,7.105,7.229,8168832.05,1676764799999,59105655.32127,144333,4108613.64,29738008.07157,0
2023-02-19,7.23,7.9,7.185,7.438,14912594.12,1676851199999,112652813.96606,310071,7218220.24,54564134.97487,0
2023-02-20,7.44,7.568,7.25,7.551,7886712.3,1676937599999,58977906.8271,164137,3979698.92,29765857.51444,0
2023-02-21,7.551,7.575,7.117,7.251,6671197.7,1677023999999,48895202.02761,128393,3225935.96,23650239.08806,0
2023-02-22,7.251,7.27,6.88,7.186,7597418.57,1677110399999,53634169.83756,157907,3761016.99,26557411.39079,0
2023-02-23,7.186,7.384,7.015,7.093,5906199.95,1677196799999,42654140.07335,129797,2967295.94,21442980.29832,0
2023-02-24,7.095,7.146,6.47,6.614,7399291.71,1677283199999,50368086.64969,164192,3529058.51,24041395.33559,0
2023-02-25,6.614,6.649,6.342,6.544,3497010.8,1677369599999,22840999.83622,82480,1669994.89,10908500.40211,0
2023-02-26,6.544,6.73,6.503,6.691,3363024.11,1677455999999,22246198.42253,71739,1670109.11,11051101.82137,0
2023-02-27,6.692,6.785,6.489,6.579,4411661.72,1677542399999,29251951.48806,86533,2031646.73,13478766.9491,0
2023-02-28,6.58,6.6,6.276,6.347,4169725.04,1677628799999,26901055.67911,79729,2056371.29,13276799.10117,0
2023-03-01,6.349,6.598,6.306,6.535,4300464.0,1677715199999,27924668.5036,83953,2234466.42,14514794.33366,0
2023-03-02,6.534,6.56,6.221,6.335,2989319.83,1677801599999,18959758.12033,68444,1424572.3,9033890.88563,0
2023-03-03,6.335,6.338,5.792,6.037,5503764.91,1677887999999,33114508.34691,111936,2563394.67,15423424.07251,0
2023-03-04,6.038,6.058,5.73,5.917,2603387.07,1677974399999,15440347.78059,56516,1240501.23,7355272.60643,0
2023-03-05,5.917,6.066,5.89,5.978,2368080.13,1678060799999,14199978.29692,49302,1142798.54,6853865.53126,0
2023-03-06,5.977,6.043,5.856,5.92,2790540.69,1678147199999,16602699.93396,61374,1350037.46,8033749.56895,0
2023-03-07,5.922,6.019,5.74,5.847,4741858.19,1678233599999,27796517.77889,87249,2198487.03,12890839.75458,0
2023-03-08,5.846,5.943,5.501,5.601,6663332.34,1678319999999,37843157.19623,121226,3333786.31,18938831.38341,0
2023-03-09,5.6,5.803,5.25,5.385,7590734.25,1678406399999,42205506.08874,142408,3586326.93,19965060.97892,0
2023-03-10,5.386,5.582,5.15,5.549,9610786.57,1678492799999,51812425.35271,176968,4695803.2,25316420.10433,0
2023-03-11,5.548,5.678,5.223,5.463,7374280.77,1678579199999,40048657.9504,148555,3616538.52,19613798.78171,0
2023-03-12,5.463,5.903,5.36,5.895,6697046.08,1678665599999,37513544.85324,137995,3367408.64,18873056.65222,0
2023-03-13,5.894,6.143,5.706,6.1,10435277.93,1678751999999,61985326.24581,205528,5105958.59,30347076.42574,0
2023-03-14,6.101,6.537,5.987,6.223,10272410.97,1678838399999,64459130.16063,202562,5059049.89,31728175.41226,0
2023-03-15,6.22,6.377,5.777,5.874,9060374.0,1678924799999,55205045.10517,185446,4363108.71,26587588.36002,0
2023-03-16,5.873,6.142,5.758,6.088,5974943.99,1679011199999,35890695.13269,122711,3031367.82,18212858.9398,0
2023-03-17,6.087,6.631,6.026,6.618,7687668.38,1679097599999,49031686.9042,160827,3801556.5,24247784.90988,0
2023-03-18,6.617,6.699,6.283,6.313,6601084.28,1679183999999,43131032.70465,149725,3183983.02,20805856.84062,0
2023-03-19,6.314,6.601,6.312,6.451,4887337.41,1679270399999,31650010.98876,102979,2387758.52,15467294.26665,0
2023-03-20,6.454,6.485,6.052,6.092,5512709.62,1679356799999,34793616.01575,124260,2587331.89,16324597.70551,0
2023-03-21,6.091,6.458,6.0,6.363,5510022.95,1679443199999,34237144.40729,125290,2751901.99,17104134.5185,0
2023-03-22,6.363,6.4,5.911,6.053,6799970.34,1679529599999,42235878.63652,161551,3266675.33,20310531.08256,0
2023-03-23,6.054,6.421,5.991,6.321,4307141.06,1679615999999,26823117.44775,97347,2240843.09,13960103.7464,0
2023-03-24,6.321,6.341,5.95,6.021,3721415.5,1679702399999,22764110.82107,86616,1739454.17,10659039.65109,0
2023-03-25,6.022,6.08,5.83,5.905,2201417.88,1679788799999,13145389.13325,53854,981695.67,5862627.41073,0
2023-03-26,5.905,6.107,5.878,6.042,1783486.74,1679875199999,10738831.21844,40825,843185.55,5078129.7331,0
2023-03-27,6.044,6.115,5.745,5.867,3393287.18,1679961599999,20085180.98981,76548,1553108.66,9187868.32805,0
2023-03-28,5.867,6.109,5.787,6.056,2901986.46,1680047999999,17266884.45055,64814,1483327.03,8832720.78773,0
2023-03-29,6.057,6.285,6.048,6.183,3767888.67,1680134399999,23354163.19851,74824,1987236.16,12314529.7444,0
2023-03-30,6.183,6.295,6.025,6.122,3863516.22,1680220799999,23726270.88821,80318,1826926.88,11221973.97329,0
2023-03-31,6.122,6.385,6.101,6.343,4320037.0,1680307199999,27058112.58292,83760,2146847.88,13445751.41847,0
2023-04-01,6.343,6.393,6.19,6.344,2562358.07,1680393599999,16120605.91695,53454,1264592.68,7957339.66128,0
2023-04-02,6.344,6.446,6.18,6.263,3027603.59,1680479999999,19179517.84472,64711,1444414.57,9153733.57688,0
2023-04-03,6.263,6.5,6.09,6.419,5348344.83,1680566399999,33788765.50806,113657,2602617.81,16454319.61009,0
2023-04-04,6.419,6.533,6.367,6.439,4385744.74,1680652799999,28282948.94705,78413,2282752.57,14720248.11465,0
2023-04-05,6.437,6.586,6.32,6.406,3707843.14,1680739199999,23940599.06778,73260,1716198.12,11082554.2465,0
2023-04-06,6.405,6.417,6.256,6.281,2705532.09,1680825599999,17145820.12307,54162,1313037.84,8324055.98996,0
2023-04-07,6.28,6.318,6.134,6.178,2659031.62,1680911999999,16476178.06199,48805,1194408.02,7399954.68603,0
2023-04-08,6.178,6.235,6.09,6.13,2071466.55,1680998399999,12768154.72718,37888,875065.48,5395424.99685,0
2023-04-09,6.131,6.26,6.097,6.211,2172474.5,1681084799999,13397527.96655,40718,1088365.68,6714097.16891,0
2023-04-10,6.212,6.313,6.117,6.291,2564574.59,1681171199999,15914291.38742,47821,1282882.94,7964357.5133,0
2023-04-11,6.29,6.49,6.276,6.415,4183538.72,1681257599999,26757558.50587,71170,2069420.69,13238503.34736,0
2023-04-12,6.416,6.469,6.214,6.403,4545433.57,1681343999999,28834275.13516,80883,2189645.36,13896193.48681,0
2023-04-13,6.404,6.65,6.349,6.634,4560331.92,1681430399999,29681388.58371,74281,2340933.4,15243069.64802,0
2023-04-14,6.634,6.865,6.535,6.731,6593166.92,1681516799999,44294992.01492,114509,3288892.65,22100631.85794,0
