ds,yhat
2025-02-04,0.81200004
2025-02-05,0.7883003
2025-02-06,0.775162
2025-02-07,0.7921568
2025-02-08,0.83486867
2025-02-09,0.8024148
2025-02-10,0.8182246
2025-02-11,0.8067793
2025-02-12,0.83031774
2025-02-13,0.8202646
2025-02-14,0.82652366
2025-02-15,0.874015
2025-02-16,0.8499054
2025-02-17,0.84194356
2025-02-18,0.81959146
2025-02-19,0.8332763
2025-02-20,0.82678777
2025-02-21,0.8192806
2025-02-22,0.850259
2025-02-23,0.8295873
2025-02-24,0.82067394
2025-02-25,0.81573683
2025-02-26,0.84027046
2025-02-27,0.83642584
2025-02-28,0.8446396
2025-03-01,0.9389998
2025-03-02,0.93047947
2025-03-03,0.9347263
2025-03-04,0.86347556
2025-03-05,0.8300223
2025-03-06,0.8287578
2025-03-07,0.8614188
2025-03-08,0.8798574
2025-03-09,0.86235446
2025-03-10,0.8711995
2025-03-11,0.8619736
2025-03-12,0.85582584
2025-03-13,0.8546674
2025-03-14,0.8700701
2025-03-15,0.8803689
2025-03-16,0.87034696
2025-03-17,0.854923
2025-03-18,0.83369315
2025-03-19,0.82001734
2025-03-20,0.82257646
2025-03-21,0.8346486
2025-03-22,0.8469364
2025-03-23,0.849351
2025-03-24,0.82837594
2025-03-25,0.82639205
2025-03-26,0.8284059
2025-03-27,0.8294464
2025-03-28,0.84938467
2025-03-29,0.8628307
2025-03-30,0.83880967
2025-03-31,0.8213998
2025-04-01,0.8214434
2025-04-02,0.80372816
2025-04-03,0.80538946
2025-04-04,0.7972311
2025-04-05,0.7885639
2025-04-06,0.8000116
2025-04-07,0.82450026
2025-04-08,0.8138259
2025-04-09,0.80706316
2025-04-10,0.7977949
2025-04-11,0.7788613
2025-04-12,0.7522626
2025-04-13,0.76606226
2025-04-14,0.7866811
2025-04-15,0.7724954
2025-04-16,0.7732351
2025-04-17,0.75924516
2025-04-18,0.7525164
2025-04-19,0.74492294
2025-04-20,0.7622003
2025-04-21,0.7877688
2025-04-22,0.76675916
2025-04-23,0.76297355
2025-04-24,0.7478614
2025-04-25,0.72845334
2025-04-26,0.7238136
2025-04-27,0.7334852
2025-04-28,0.7589716
2025-04-29,0.7548418
2025-04-30,0.7372886
2025-05-01,0.7348358
2025-05-02,0.7312081
2025-05-03,0.72865087
2025-05-04,0.75587094
2025-05-05,0.7455976
2025-05-06,0.75068414
2025-05-07,0.73833644
2025-05-08,0.7478069
2025-05-09,0.7437257
2025-05-10,0.73896027
2025-05-11,0.735113
2025-05-12,0.74733484
2025-05-13,0.741317
2025-05-14,0.7545527
2025-05-15,0.757068
2025-05-16,0.7552733
2025-05-17,0.74938035
2025-05-18,0.757545
2025-05-19,0.76358116
2025-05-20,0.7602328
2025-05-21,0.77171516
2025-05-22,0.7673924
2025-05-23,0.7742308
2025-05-24,0.7659256
2025-05-25,0.76311094
2025-05-26,0.7780313
2025-05-27,0.77281576
2025-05-28,0.7713906
2025-05-29,0.7887981
2025-05-30,0.7598255
2025-05-31,0.78265226
2025-06-01,0.83792955
2025-06-02,0.82923836
2025-06-03,0.8066692
2025-06-04,0.7851223
2025-06-05,0.75586164
2025-06-06,0.75823545
2025-06-07,0.747419
2025-06-08,0.7623446
2025-06-09,0.7141696
2025-06-10,0.7030369
2025-06-11,0.70459974
2025-06-12,0.70897925
2025-06-13,0.69802606
2025-06-14,0.6983136
2025-06-15,0.72045463
2025-06-16,0.69338214
2025-06-17,0.68039227
2025-06-18,0.6731106
2025-06-19,0.66230583
2025-06-20,0.6804115
2025-06-21,0.6820366
2025-06-22,0.6938522
2025-06-23,0.6863488
2025-06-24,0.6789887
2025-06-25,0.6788033
2025-06-26,0.6689758
2025-06-27,0.6830125
2025-06-28,0.69143176
2025-06-29,0.7068167
2025-06-30,0.7003382
2025-07-01,0.68819726
2025-07-02,0.6779464
2025-07-03,0.67158985
2025-07-04,0.67100114
2025-07-05,0.66313535
2025-07-06,0.6691232
2025-07-07,0.67311734
2025-07-08,0.6689941
2025-07-09,0.6691534
2025-07-10,0.6672027
2025-07-11,0.66659564
2025-07-12,0.66418135
2025-07-13,0.678241
2025-07-14,0.6773132
2025-07-15,0.6723331
2025-07-16,0.6801274
2025-07-17,0.66375804
2025-07-18,0.66917735
2025-07-19,0.6678015
2025-07-20,0.6795788
2025-07-21,0.68560344
2025-07-22,0.6732931
2025-07-23,0.6751801
2025-07-24,0.6608231
2025-07-25,0.6532439
2025-07-26,0.6512865
2025-07-27,0.6558712
2025-07-28,0.65853506
2025-07-29,0.663505
2025-07-30,0.6581514
2025-07-31,0.66355777
2025-08-01,0.6111234
2025-08-02,0.60916334
