ds,yhat
2025-01-21,691.48
2025-01-22,714.48816
2025-01-23,711.635
2025-01-24,713.9127
2025-01-25,694.5589
2025-01-26,700.13025
2025-01-27,669.13477
2025-01-28,658.68365
2025-01-29,690.65405
2025-01-30,687.455
2025-01-31,780.3548
2025-02-01,713.7396
2025-02-02,711.25854
2025-02-03,730.6754
2025-02-04,733.22766
2025-02-05,745.8888
2025-02-06,750.92224
2025-02-07,764.00415
2025-02-08,763.4778
2025-02-09,750.9716
2025-02-10,752.72876
2025-02-11,746.18774
2025-02-12,766.91235
2025-02-13,769.58154
2025-02-14,765.3148
2025-02-15,780.713
2025-02-16,763.01416
2025-02-17,764.072
2025-02-18,752.34155
2025-02-19,759.0221
2025-02-20,772.4053
2025-02-21,785.3259
2025-02-22,776.77435
2025-02-23,766.85345
2025-02-24,774.9115
2025-02-25,770.02136
2025-02-26,794.8572
2025-02-27,794.69214
2025-02-28,799.2446
2025-03-01,776.97266
2025-03-02,784.8928
2025-03-03,786.7621
2025-03-04,784.4905
2025-03-05,794.5805
2025-03-06,814.8209
2025-03-07,836.4118
2025-03-08,841.9192
2025-03-09,849.16986
2025-03-10,837.4928
2025-03-11,830.2081
2025-03-12,852.5881
2025-03-13,880.39465
2025-03-14,882.3385
2025-03-15,892.4977
2025-03-16,886.48413
2025-03-17,869.19836
2025-03-18,853.46783
2025-03-19,848.4856
2025-03-20,870.5167
2025-03-21,880.0635
2025-03-22,875.8181
2025-03-23,877.86816
2025-03-24,870.0277
2025-03-25,867.2206
2025-03-26,883.83716
2025-03-27,889.43616
2025-03-28,891.1669
2025-03-29,901.83777
2025-03-30,890.6964
2025-03-31,785.56665
2025-04-01,905.0873
2025-04-02,881.0545
2025-04-03,873.4977
2025-04-04,881.94836
2025-04-05,869.6849
2025-04-06,889.66425
2025-04-07,900.98706
2025-04-08,904.80664
2025-04-09,887.39954
2025-04-10,884.8672
2025-04-11,886.2781
2025-04-12,870.3968
2025-04-13,885.4766
2025-04-14,906.33844
2025-04-15,907.0051
2025-04-16,889.93445
2025-04-17,880.9569
2025-04-18,879.5627
2025-04-19,871.7461
2025-04-20,903.871
2025-04-21,909.09546
2025-04-22,898.6776
2025-04-23,897.23096
2025-04-24,892.4675
2025-04-25,890.96893
2025-04-26,871.4593
2025-04-27,918.0608
2025-04-28,909.2883
2025-04-29,911.933
2025-04-30,888.49817
2025-05-01,892.7675
2025-05-02,865.32666
2025-05-03,853.3946
2025-05-04,873.8983
2025-05-05,831.3551
2025-05-06,864.3928
2025-05-07,864.6793
2025-05-08,883.657
2025-05-09,876.49176
2025-05-10,860.41284
2025-05-11,856.17804
2025-05-12,847.98804
2025-05-13,864.04175
2025-05-14,878.7755
2025-05-15,887.4415
2025-05-16,878.5647
2025-05-17,866.21313
2025-05-18,864.94006
2025-05-19,855.7609
2025-05-20,860.2987
2025-05-21,865.0409
2025-05-22,884.779
2025-05-23,885.8591
2025-05-24,858.31616
2025-05-25,872.28766
2025-05-26,871.47485
2025-05-27,864.2097
2025-05-28,863.0887
2025-05-29,879.53613
2025-05-30,882.2251
2025-05-31,963.951
2025-06-01,970.5728
2025-06-02,945.1189
2025-06-03,946.927
2025-06-04,940.52856
2025-06-05,926.4184
2025-06-06,931.8487
2025-06-07,950.04565
2025-06-08,964.97754
2025-06-09,914.2816
2025-06-10,895.4301
2025-06-11,890.03235
2025-06-12,877.71967
2025-06-13,888.7705
2025-06-14,912.53394
2025-06-15,936.48047
2025-06-16,899.80396
2025-06-17,882.3142
2025-06-18,875.3352
2025-06-19,865.26733
2025-06-20,889.56287
2025-06-21,898.9966
2025-06-22,896.6709
2025-06-23,905.8196
2025-06-24,886.1001
2025-06-25,881.9806
2025-06-26,870.44867
2025-06-27,882.69714
2025-06-28,899.58496
2025-06-29,912.4838
2025-06-30,897.49084
2025-07-01,891.24927
2025-07-02,865.77966
2025-07-03,835.1023
2025-07-04,822.01996
2025-07-05,819.06775
2025-07-06,822.5941
2025-07-07,834.69055
2025-07-08,850.0075
2025-07-09,836.9556
2025-07-10,822.1736
2025-07-11,825.1383
2025-07-12,812.0806
2025-07-13,823.49615
2025-07-14,855.8718
2025-07-15,866.7596
2025-07-16,856.44275
2025-07-17,835.19934
2025-07-18,827.4623
2025-07-19,835.81396
