ds,yhat
2025-01-17,99543.09
2025-01-18,95690.04
2025-01-19,95076.586
2025-01-20,94736.91
2025-01-21,94422.17
2025-01-22,102326.01
2025-01-23,103232.63
2025-01-24,97627.67
2025-01-25,95517.26
2025-01-26,92858.84
2025-01-27,92363.87
2025-01-28,91628.1
2025-01-29,102659.336
2025-01-30,103556.85
2025-01-31,106508.0
2025-02-01,103183.24
2025-02-02,102106.54
2025-02-03,103244.21
2025-02-04,104361.11
2025-02-05,106156.49
2025-02-06,106098.33
2025-02-07,105420.39
2025-02-08,107594.57
2025-02-09,106112.71
2025-02-10,105628.65
2025-02-11,107865.33
2025-02-12,110013.84
2025-02-13,109869.25
2025-02-14,108676.06
2025-02-15,110167.56
2025-02-16,109205.04
2025-02-17,108574.33
2025-02-18,107803.41
2025-02-19,109630.65
2025-02-20,110760.516
2025-02-21,108832.97
2025-02-22,109054.05
2025-02-23,107539.29
2025-02-24,105215.875
2025-02-25,107527.13
2025-02-26,111293.3
2025-02-27,112199.68
2025-02-28,114011.49
2025-03-01,113845.5
2025-03-02,114427.984
2025-03-03,115150.125
2025-03-04,114054.016
2025-03-05,113919.44
2025-03-06,114703.41
2025-03-07,116341.65
2025-03-08,119043.95
2025-03-09,118285.14
2025-03-10,117336.98
2025-03-11,117548.47
2025-03-12,117753.984
2025-03-13,118337.95
2025-03-14,118045.87
2025-03-15,119927.484
2025-03-16,119799.83
2025-03-17,118215.89
2025-03-18,115483.875
2025-03-19,115066.69
2025-03-20,117141.08
2025-03-21,117068.06
2025-03-22,118716.18
2025-03-23,118908.18
2025-03-24,116081.266
2025-03-25,116704.47
2025-03-26,117575.16
2025-03-27,117958.09
2025-03-28,119446.87
2025-03-29,121338.53
2025-03-30,117758.13
2025-03-31,110214.22
2025-04-01,119990.984
2025-04-02,117707.08
2025-04-03,117249.28
2025-04-04,118841.0
2025-04-05,116679.19
2025-04-06,118739.67
2025-04-07,122341.74
2025-04-08,119723.52
2025-04-09,118480.03
2025-04-10,118609.3
2025-04-11,117507.84
2025-04-12,114932.516
2025-04-13,117374.09
2025-04-14,119756.19
2025-04-15,118545.76
2025-04-16,118703.72
2025-04-17,116513.734
2025-04-18,115197.734
2025-04-19,113273.96
2025-04-20,118495.06
2025-04-21,118394.48
2025-04-22,118145.89
2025-04-23,117011.27
2025-04-24,117251.3
2025-04-25,116194.94
2025-04-26,115149.805
2025-04-27,117769.305
2025-04-28,117991.01
2025-04-29,119701.766
2025-04-30,116233.03
2025-05-01,118050.75
2025-05-02,118322.484
2025-05-03,115622.516
2025-05-04,117466.11
2025-05-05,115039.3
2025-05-06,115924.8
2025-05-07,116415.89
2025-05-08,117592.49
2025-05-09,118004.89
2025-05-10,116514.89
2025-05-11,115984.95
2025-05-12,116272.36
2025-05-13,116276.99
2025-05-14,116997.016
2025-05-15,118610.59
2025-05-16,118349.06
2025-05-17,115662.11
2025-05-18,116089.08
2025-05-19,117645.55
2025-05-20,115838.1
2025-05-21,117786.11
2025-05-22,119280.64
2025-05-23,120907.984
2025-05-24,118397.266
2025-05-25,118984.66
2025-05-26,120216.63
2025-05-27,117325.47
2025-05-28,119653.22
2025-05-29,120596.69
2025-05-30,118020.45
2025-05-31,126276.97
2025-06-01,130578.56
2025-06-02,125845.7
2025-06-03,122377.14
2025-06-04,121591.82
2025-06-05,119304.984
2025-06-06,121696.59
2025-06-07,122299.98
2025-06-08,126362.05
2025-06-09,122912.53
2025-06-10,120742.734
2025-06-11,120471.6
2025-06-12,118859.734
2025-06-13,119840.875
2025-06-14,122665.79
2025-06-15,125566.3
2025-06-16,123776.586
2025-06-17,118564.47
2025-06-18,117335.55
2025-06-19,117577.875
2025-06-20,120577.98
2025-06-21,123135.78
2025-06-22,123230.22
2025-06-23,122246.8
2025-06-24,119484.914
2025-06-25,118991.484
2025-06-26,118002.734
2025-06-27,121167.53
2025-06-28,122838.17
2025-06-29,124611.13
2025-06-30,121936.41
2025-07-01,118508.06
2025-07-02,117992.984
2025-07-03,114834.95
2025-07-04,115339.07
2025-07-05,113334.25
2025-07-06,115184.75
2025-07-07,117548.484
2025-07-08,116146.84
2025-07-09,115979.63
2025-07-10,115236.766
2025-07-11,114410.3
2025-07-12,113886.24
2025-07-13,115436.06
2025-07-14,117064.87
2025-07-15,117508.94
