ds,yhat
2025-02-04,0.28485
2025-02-05,0.2826167
2025-02-06,0.27571955
2025-02-07,0.2761765
2025-02-08,0.29565078
2025-02-09,0.29328242
2025-02-10,0.2986524
2025-02-11,0.28485867
2025-02-12,0.28589144
2025-02-13,0.2830252
2025-02-14,0.2837635
2025-02-15,0.2988992
2025-02-16,0.29305714
2025-02-17,0.2915516
2025-02-18,0.2775944
2025-02-19,0.27965432
2025-02-20,0.2776771
2025-02-21,0.276423
2025-02-22,0.29671025
2025-02-23,0.29468215
2025-02-24,0.28739935
2025-02-25,0.28254408
2025-02-26,0.2820106
2025-02-27,0.28710496
2025-02-28,0.2976809
2025-03-01,0.34194767
2025-03-02,0.33713078
2025-03-03,0.35060933
2025-03-04,0.31546202
2025-03-05,0.31407225
2025-03-06,0.31172806
2025-03-07,0.31356508
2025-03-08,0.321102
2025-03-09,0.3233233
2025-03-10,0.32207912
2025-03-11,0.31665966
2025-03-12,0.31586012
2025-03-13,0.31828725
2025-03-14,0.31968963
2025-03-15,0.32217383
2025-03-16,0.31931955
2025-03-17,0.3111095
2025-03-18,0.3054489
2025-03-19,0.30679786
2025-03-20,0.30991435
2025-03-21,0.31065547
2025-03-22,0.31927404
2025-03-23,0.32163173
2025-03-24,0.3096434
2025-03-25,0.31413734
2025-03-26,0.315363
2025-03-27,0.32438305
2025-03-28,0.32988116
2025-03-29,0.32967788
2025-03-30,0.3215838
2025-03-31,0.32045782
2025-04-01,0.33051354
2025-04-02,0.32498157
2025-04-03,0.3245094
2025-04-04,0.32477456
2025-04-05,0.32592744
2025-04-06,0.32732496
2025-04-07,0.3433888
2025-04-08,0.3307635
2025-04-09,0.3282738
2025-04-10,0.32144672
2025-04-11,0.31714338
2025-04-12,0.30894828
2025-04-13,0.31509376
2025-04-14,0.32972243
2025-04-15,0.31643915
2025-04-16,0.31591487
2025-04-17,0.31211722
2025-04-18,0.31232995
2025-04-19,0.31078923
2025-04-20,0.31343514
2025-04-21,0.33209312
2025-04-22,0.31825733
2025-04-23,0.31818572
2025-04-24,0.31265634
2025-04-25,0.30744994
2025-04-26,0.30711865
2025-04-27,0.31083357
2025-04-28,0.3337035
2025-04-29,0.32236746
2025-04-30,0.31535757
2025-05-01,0.2896076
2025-05-02,0.29033935
2025-05-03,0.29207802
2025-05-04,0.30848554
2025-05-05,0.29993585
2025-05-06,0.30510268
2025-05-07,0.30652976
2025-05-08,0.30802903
2025-05-09,0.30709618
2025-05-10,0.30238152
2025-05-11,0.30299628
2025-05-12,0.30325472
2025-05-13,0.3082073
2025-05-14,0.31162378
2025-05-15,0.31178668
2025-05-16,0.3090792
2025-05-17,0.3086076
2025-05-18,0.30478448
2025-05-19,0.30518252
2025-05-20,0.31173587
2025-05-21,0.3154058
2025-05-22,0.31537712
2025-05-23,0.3155492
2025-05-24,0.3138292
2025-05-25,0.31224236
2025-05-26,0.313325
2025-05-27,0.3143359
2025-05-28,0.31868643
2025-05-29,0.3211897
2025-05-30,0.3165792
2025-05-31,0.33655155
2025-06-01,0.3673094
2025-06-02,0.34738666
2025-06-03,0.3300405
2025-06-04,0.3287024
2025-06-05,0.31799328
2025-06-06,0.31603605
2025-06-07,0.3273936
2025-06-08,0.34184292
2025-06-09,0.32474035
2025-06-10,0.31205386
2025-06-11,0.31559628
2025-06-12,0.3099018
2025-06-13,0.30576792
2025-06-14,0.31112164
2025-06-15,0.32022566
2025-06-16,0.30917764
2025-06-17,0.30112574
2025-06-18,0.2994813
2025-06-19,0.2928445
2025-06-20,0.30060747
2025-06-21,0.3054598
2025-06-22,0.31161597
2025-06-23,0.30623364
2025-06-24,0.29969546
2025-06-25,0.3046629
2025-06-26,0.29857835
2025-06-27,0.3059049
2025-06-28,0.31532207
2025-06-29,0.32277447
2025-06-30,0.31332356
2025-07-01,0.2942044
2025-07-02,0.2910964
2025-07-03,0.2868981
2025-07-04,0.28698632
2025-07-05,0.29185402
2025-07-06,0.2902677
2025-07-07,0.29471517
2025-07-08,0.28885376
2025-07-09,0.28812188
2025-07-10,0.2824635
2025-07-11,0.28246498
2025-07-12,0.2812863
2025-07-13,0.28564584
2025-07-14,0.2899683
2025-07-15,0.28494543
2025-07-16,0.28729022
2025-07-17,0.28429943
2025-07-18,0.2880572
2025-07-19,0.29039016
2025-07-20,0.29155868
2025-07-21,0.30233154
2025-07-22,0.2943207
2025-07-23,0.29512852
2025-07-24,0.28976595
2025-07-25,0.28775704
2025-07-26,0.2909919
2025-07-27,0.2928049
2025-07-28,0.30481678
2025-07-29,0.3015587
2025-07-30,0.29803416
2025-07-31,0.30931455
2025-08-01,0.26925647
2025-08-02,0.27024978
