ds,yhat
2025-01-17,7.033
2025-01-18,6.7604055
2025-01-19,6.8377514
2025-01-20,7.1257467
2025-01-21,6.8600674
2025-01-22,6.77436
2025-01-23,6.764032
2025-01-24,6.6717453
2025-01-25,6.5024834
2025-01-26,6.584965
2025-01-27,6.7618957
2025-01-28,6.628766
2025-01-29,6.836912
2025-01-30,6.680368
2025-01-31,6.9670806
2025-02-01,7.1849704
2025-02-02,7.2560596
2025-02-03,7.5287457
2025-02-04,7.550683
2025-02-05,7.4752984
2025-02-06,7.4107
2025-02-07,7.4457
2025-02-08,7.516452
2025-02-09,7.360237
2025-02-10,7.4399047
2025-02-11,7.601801
2025-02-12,7.618264
2025-02-13,7.6241517
2025-02-14,7.664267
2025-02-15,7.800398
2025-02-16,7.828097
2025-02-17,7.945167
2025-02-18,7.8423963
2025-02-19,7.814701
2025-02-20,7.7849727
2025-02-21,7.776845
2025-02-22,7.7080035
2025-02-23,7.9085603
2025-02-24,7.622714
2025-02-25,7.903696
2025-02-26,7.922537
2025-02-27,8.035465
2025-02-28,8.100683
2025-03-01,8.236738
2025-03-02,8.428668
2025-03-03,8.381929
2025-03-04,8.374747
2025-03-05,8.302557
2025-03-06,8.625381
2025-03-07,8.672866
2025-03-08,8.684233
2025-03-09,8.468884
2025-03-10,8.407093
2025-03-11,8.697955
2025-03-12,8.847927
2025-03-13,9.204053
2025-03-14,9.285595
2025-03-15,8.984141
2025-03-16,8.804616
2025-03-17,8.530027
2025-03-18,8.168941
2025-03-19,7.971435
2025-03-20,8.024559
2025-03-21,8.187077
2025-03-22,8.048195
2025-03-23,8.266045
2025-03-24,7.825254
2025-03-25,8.022909
2025-03-26,8.09499
2025-03-27,8.260592
2025-03-28,8.335096
2025-03-29,8.433738
2025-03-30,8.261701
2025-03-31,7.630283
2025-04-01,7.853099
2025-04-02,7.7014213
2025-04-03,7.5765085
2025-04-04,7.512266
2025-04-05,7.4661245
2025-04-06,7.6670322
2025-04-07,7.8601656
2025-04-08,7.771157
2025-04-09,7.6495686
2025-04-10,7.521229
2025-04-11,7.281768
2025-04-12,6.7808895
2025-04-13,6.914846
2025-04-14,7.152101
2025-04-15,7.1122365
2025-04-16,7.0065513
2025-04-17,6.925692
2025-04-18,6.838537
2025-04-19,6.7439117
2025-04-20,6.9543037
2025-04-21,7.1312466
2025-04-22,7.007351
2025-04-23,6.8480487
2025-04-24,6.6165185
2025-04-25,6.404871
2025-04-26,6.300995
2025-04-27,6.445476
2025-04-28,6.70758
2025-04-29,6.616123
2025-04-30,6.378512
2025-05-01,6.4155865
2025-05-02,6.5851574
2025-05-03,6.431539
2025-05-04,6.4050045
2025-05-05,6.272774
2025-05-06,6.361243
2025-05-07,6.5064106
2025-05-08,6.5420017
2025-05-09,6.5453606
2025-05-10,6.320186
2025-05-11,6.08813
2025-05-12,6.264262
2025-05-13,6.2105594
2025-05-14,6.4585795
2025-05-15,6.571805
2025-05-16,6.6310062
2025-05-17,6.6038885
2025-05-18,6.539505
2025-05-19,6.581524
2025-05-20,6.7342587
2025-05-21,6.8503537
2025-05-22,6.8647223
2025-05-23,6.893649
2025-05-24,6.9263115
2025-05-25,6.811423
2025-05-26,7.0584474
2025-05-27,7.0199633
2025-05-28,7.073386
2025-05-29,6.962144
2025-05-30,6.8351603
2025-05-31,6.840704
2025-06-01,7.1808953
2025-06-02,7.2422094
2025-06-03,7.0354643
2025-06-04,6.9656897
2025-06-05,6.804276
2025-06-06,6.8547826
2025-06-07,6.634048
2025-06-08,6.636097
2025-06-09,6.2339835
2025-06-10,6.032302
2025-06-11,6.151965
2025-06-12,6.027629
2025-06-13,6.054864
2025-06-14,5.9544044
2025-06-15,6.130304
2025-06-16,5.836489
2025-06-17,5.6281724
2025-06-18,5.567402
2025-06-19,5.4900565
2025-06-20,5.629628
2025-06-21,5.7167196
2025-06-22,5.7116747
2025-06-23,5.665181
2025-06-24,5.5833445
2025-06-25,5.719662
2025-06-26,5.6291585
2025-06-27,5.7911325
2025-06-28,5.8092904
2025-06-29,5.8887258
2025-06-30,5.613994
2025-07-01,6.117116
2025-07-02,6.0995364
2025-07-03,5.8963804
2025-07-04,5.854696
2025-07-05,5.8223147
2025-07-06,5.965491
2025-07-07,5.850844
2025-07-08,5.906903
2025-07-09,5.9130306
2025-07-10,5.838483
2025-07-11,5.813993
2025-07-12,5.8382196
2025-07-13,6.0834875
2025-07-14,5.953179
2025-07-15,6.0045924
