ds,yhat
2025-02-04,2879.9
2025-02-05,2847.046
2025-02-06,2811.4365
2025-02-07,2766.17
2025-02-08,2805.858
2025-02-09,2742.771
2025-02-10,2769.9043
2025-02-11,2792.7217
2025-02-12,2945.6558
2025-02-13,2919.433
2025-02-14,2850.5723
2025-02-15,2949.4312
2025-02-16,2931.354
2025-02-17,2865.0806
2025-02-18,2885.7168
2025-02-19,2982.9033
2025-02-20,2986.1196
2025-02-21,2899.436
2025-02-22,2899.4653
2025-02-23,2821.5645
2025-02-24,2769.1177
2025-02-25,2876.498
2025-02-26,3035.7095
2025-02-27,3099.3262
2025-02-28,3090.7266
2025-03-01,3326.08
2025-03-02,3321.0835
2025-03-03,3254.456
2025-03-04,3207.2554
2025-03-05,3182.4565
2025-03-06,3258.4502
2025-03-07,3376.2021
2025-03-08,3423.2275
2025-03-09,3434.3071
2025-03-10,3337.2446
2025-03-11,3310.1514
2025-03-12,3337.9248
2025-03-13,3374.942
2025-03-14,3372.1938
2025-03-15,3399.9966
2025-03-16,3410.5234
2025-03-17,3257.4692
2025-03-18,3191.546
2025-03-19,3122.7192
2025-03-20,3235.2065
2025-03-21,3267.102
2025-03-22,3223.7148
2025-03-23,3260.817
2025-03-24,3100.4004
2025-03-25,3123.1284
2025-03-26,3193.2666
2025-03-27,3225.8027
2025-03-28,3263.9893
2025-03-29,3285.6587
2025-03-30,3203.54
2025-03-31,2728.2021
2025-04-01,3158.7031
2025-04-02,3078.0454
2025-04-03,3066.5996
2025-04-04,3102.0352
2025-04-05,3045.7998
2025-04-06,3113.7095
2025-04-07,3259.1943
2025-04-08,3277.9507
2025-04-09,3183.0122
2025-04-10,3125.3726
2025-04-11,3054.983
2025-04-12,2945.204
2025-04-13,3082.4263
2025-04-14,3198.7085
2025-04-15,3191.9492
2025-04-16,3116.4785
2025-04-17,3058.3242
2025-04-18,3060.9067
2025-04-19,2937.2744
2025-04-20,3098.065
2025-04-21,3235.0269
2025-04-22,3158.0786
2025-04-23,3159.9565
2025-04-24,3053.276
2025-04-25,3033.8242
2025-04-26,2940.6733
2025-04-27,3056.3643
2025-04-28,3238.3765
2025-04-29,3220.7612
2025-04-30,3073.4795
2025-05-01,3019.7212
2025-05-02,3040.2974
2025-05-03,2939.7588
2025-05-04,2976.609
2025-05-05,2962.3926
2025-05-06,3018.788
2025-05-07,3017.2012
2025-05-08,3088.168
2025-05-09,3086.1396
2025-05-10,2947.1362
2025-05-11,2895.0503
2025-05-12,3027.1948
2025-05-13,3015.4355
2025-05-14,3065.859
2025-05-15,3137.4253
2025-05-16,3120.6792
2025-05-17,2996.7495
2025-05-18,3023.0771
2025-05-19,3090.085
2025-05-20,3295.934
2025-05-21,3346.312
2025-05-22,3408.685
2025-05-23,3454.9307
2025-05-24,3314.149
2025-05-25,3372.0132
2025-05-26,3456.503
2025-05-27,3497.3716
2025-05-28,3526.941
2025-05-29,3545.1445
2025-05-30,3368.04
2025-05-31,3524.7656
2025-06-01,3712.12
2025-06-02,3593.9214
2025-06-03,3560.545
2025-06-04,3550.7544
2025-06-05,3393.712
2025-06-06,3462.213
2025-06-07,3537.892
2025-06-08,3597.5332
2025-06-09,3404.94
2025-06-10,3326.602
2025-06-11,3337.732
2025-06-12,3217.8037
2025-06-13,3275.8726
2025-06-14,3399.0005
2025-06-15,3482.5933
2025-06-16,3345.6191
2025-06-17,3255.4697
2025-06-18,3237.0576
2025-06-19,3184.3965
2025-06-20,3350.163
2025-06-21,3471.9873
2025-06-22,3470.3296
2025-06-23,3402.1992
2025-06-24,3288.3936
2025-06-25,3268.2358
2025-06-26,3220.0566
2025-06-27,3302.2622
2025-06-28,3455.0957
2025-06-29,3489.7944
2025-06-30,3384.4902
2025-07-01,3293.9385
2025-07-02,3222.1055
2025-07-03,3074.1763
2025-07-04,3024.3096
2025-07-05,2960.7095
2025-07-06,2966.2344
2025-07-07,3058.8584
2025-07-08,3138.207
2025-07-09,3099.1963
2025-07-10,2992.6465
2025-07-11,2971.9185
2025-07-12,2926.982
2025-07-13,3029.3838
2025-07-14,3174.5732
2025-07-15,3259.8828
2025-07-16,3255.9194
2025-07-17,3100.8828
2025-07-18,3110.9814
2025-07-19,3055.815
2025-07-20,3177.8257
2025-07-21,3315.4448
2025-07-22,3305.7227
2025-07-23,3299.2656
2025-07-24,3092.3955
2025-07-25,3060.2666
2025-07-26,2975.1646
2025-07-27,2996.5415
2025-07-28,3176.523
2025-07-29,3241.5708
2025-07-30,3263.4492
2025-07-31,3136.9727
2025-08-01,3121.1787
2025-08-02,3038.6753
