ds,yhat
2025-02-04,21.64
2025-02-05,18.585611
2025-02-06,17.997107
2025-02-07,18.00772
2025-02-08,18.501818
2025-02-09,17.532896
2025-02-10,18.166515
2025-02-11,18.208334
2025-02-12,19.522802
2025-02-13,19.105705
2025-02-14,18.875025
2025-02-15,19.4263
2025-02-16,18.202017
2025-02-17,18.663443
2025-02-18,18.21937
2025-02-19,18.817917
2025-02-20,18.501911
2025-02-21,17.96991
2025-02-22,18.27162
2025-02-23,17.426529
2025-02-24,17.60239
2025-02-25,17.424063
2025-02-26,18.55009
2025-02-27,18.473911
2025-02-28,18.242477
2025-03-01,20.286064
2025-03-02,20.20676
2025-03-03,19.436958
2025-03-04,18.39465
2025-03-05,17.381561
2025-03-06,17.800667
2025-03-07,18.373596
2025-03-08,18.828718
2025-03-09,18.820274
2025-03-10,18.73189
2025-03-11,18.2648
2025-03-12,18.082865
2025-03-13,18.188095
2025-03-14,18.688778
2025-03-15,18.812647
2025-03-16,18.441086
2025-03-17,17.803295
2025-03-18,17.506735
2025-03-19,16.73802
2025-03-20,17.346441
2025-03-21,17.75913
2025-03-22,18.069546
2025-03-23,18.245813
2025-03-24,17.4809
2025-03-25,17.611073
2025-03-26,17.568134
2025-03-27,17.6388
2025-03-28,17.86952
2025-03-29,18.407063
2025-03-30,17.678646
2025-03-31,15.647362
2025-04-01,17.21433
2025-04-02,16.955704
2025-04-03,17.226616
2025-04-04,16.882982
2025-04-05,16.284883
2025-04-06,16.255577
2025-04-07,17.641724
2025-04-08,17.241188
2025-04-09,16.952877
2025-04-10,16.636097
2025-04-11,15.984056
2025-04-12,15.211468
2025-04-13,15.408905
2025-04-14,16.227009
2025-04-15,15.928118
2025-04-16,15.827364
2025-04-17,15.886564
2025-04-18,15.476095
2025-04-19,15.0096035
2025-04-20,15.649334
2025-04-21,16.764812
2025-04-22,16.325806
2025-04-23,15.867397
2025-04-24,15.687498
2025-04-25,15.27058
2025-04-26,14.676004
2025-04-27,14.462004
2025-04-28,15.727768
2025-04-29,15.758743
2025-04-30,15.277651
2025-05-01,15.073753
2025-05-02,15.294441
2025-05-03,15.294653
2025-05-04,15.403692
2025-05-05,15.730875
2025-05-06,15.703724
2025-05-07,15.742956
2025-05-08,16.109606
2025-05-09,16.01932
2025-05-10,15.401033
2025-05-11,15.443729
2025-05-12,15.640095
2025-05-13,15.143625
2025-05-14,15.402729
2025-05-15,16.028126
2025-05-16,16.25458
2025-05-17,15.717726
2025-05-18,16.232885
2025-05-19,15.994904
2025-05-20,16.654037
2025-05-21,16.529629
2025-05-22,17.182055
2025-05-23,17.381027
2025-05-24,16.794144
2025-05-25,17.186487
2025-05-26,17.43124
2025-05-27,17.717033
2025-05-28,17.95613
2025-05-29,18.22087
2025-05-30,17.280533
2025-05-31,18.503342
2025-06-01,17.666582
2025-06-02,18.303982
2025-06-03,17.43562
2025-06-04,17.16545
2025-06-05,16.239399
2025-06-06,16.430727
2025-06-07,16.69404
2025-06-08,17.361137
2025-06-09,16.188175
2025-06-10,15.356934
2025-06-11,15.651016
2025-06-12,15.506691
2025-06-13,15.937998
2025-06-14,16.480223
2025-06-15,17.060198
2025-06-16,16.255836
2025-06-17,15.341963
2025-06-18,15.218571
2025-06-19,14.493746
2025-06-20,15.131147
2025-06-21,15.609461
2025-06-22,16.138868
2025-06-23,15.955294
2025-06-24,15.743351
2025-06-25,15.701685
2025-06-26,15.193493
2025-06-27,15.338585
2025-06-28,16.243347
2025-06-29,16.503998
2025-06-30,16.253931
2025-07-01,15.57876
2025-07-02,15.3917675
2025-07-03,14.694395
2025-07-04,14.708078
2025-07-05,14.264746
2025-07-06,14.262388
2025-07-07,14.856203
2025-07-08,14.965141
2025-07-09,14.904263
2025-07-10,14.330233
2025-07-11,14.384924
2025-07-12,14.10931
2025-07-13,14.437988
2025-07-14,14.826954
2025-07-15,15.099974
2025-07-16,15.23901
2025-07-17,14.811308
2025-07-18,14.853613
2025-07-19,14.553719
2025-07-20,15.118731
2025-07-21,15.720789
2025-07-22,15.603863
2025-07-23,15.419123
2025-07-24,14.850365
2025-07-25,14.899364
2025-07-26,14.498932
2025-07-27,14.087215
2025-07-28,14.871841
2025-07-29,15.2319145
2025-07-30,15.393974
2025-07-31,14.927868
2025-08-01,14.852474
2025-08-02,14.443441
