ds,yhat
2025-02-04,106.91
2025-02-05,110.09813
2025-02-06,106.55739
2025-02-07,109.26166
2025-02-08,113.21808
2025-02-09,112.22281
2025-02-10,113.84323
2025-02-11,110.832275
2025-02-12,108.73428
2025-02-13,107.172424
2025-02-14,108.47429
2025-02-15,114.20447
2025-02-16,115.46919
2025-02-17,116.57565
2025-02-18,111.36249
2025-02-19,107.669205
2025-02-20,104.64743
2025-02-21,105.80177
2025-02-22,110.43823
2025-02-23,112.13425
2025-02-24,110.09607
2025-02-25,108.41168
2025-02-26,108.52646
2025-02-27,105.97049
2025-02-28,108.23132
2025-03-01,127.33331
2025-03-02,127.896774
2025-03-03,126.043884
2025-03-04,118.25722
2025-03-05,116.83394
2025-03-06,114.18559
2025-03-07,114.874954
2025-03-08,114.4164
2025-03-09,113.8521
2025-03-10,114.7681
2025-03-11,114.10365
2025-03-12,113.30669
2025-03-13,113.91029
2025-03-14,113.7146
2025-03-15,114.04472
2025-03-16,115.29674
2025-03-17,116.02298
2025-03-18,112.525085
2025-03-19,110.406586
2025-03-20,109.98146
2025-03-21,110.59166
2025-03-22,112.04321
2025-03-23,114.77557
2025-03-24,114.990234
2025-03-25,115.36539
2025-03-26,116.52055
2025-03-27,116.39787
2025-03-28,117.700516
2025-03-29,121.68933
2025-03-30,120.70279
2025-03-31,127.425705
2025-04-01,123.44029
2025-04-02,123.78728
2025-04-03,120.76988
2025-04-04,120.19501
2025-04-05,120.520325
2025-04-06,120.86636
2025-04-07,124.33603
2025-04-08,121.69183
2025-04-09,119.177124
2025-04-10,118.03711
2025-04-11,117.41008
2025-04-12,114.44855
2025-04-13,113.96677
2025-04-14,117.20625
2025-04-15,115.8667
2025-04-16,115.46748
2025-04-17,115.54918
2025-04-18,113.85382
2025-04-19,113.24495
2025-04-20,112.88835
2025-04-21,115.99753
2025-04-22,114.69412
2025-04-23,114.48465
2025-04-24,114.4068
2025-04-25,113.453705
2025-04-26,113.16872
2025-04-27,112.82895
2025-04-28,115.9713
2025-04-29,115.5047
2025-04-30,112.748825
2025-05-01,105.096176
2025-05-02,106.12828
2025-05-03,107.04709
2025-05-04,108.74571
2025-05-05,104.04277
2025-05-06,107.24074
2025-05-07,107.65079
2025-05-08,107.48308
2025-05-09,107.291306
2025-05-10,105.56383
2025-05-11,105.63219
2025-05-12,106.84825
2025-05-13,107.76785
2025-05-14,108.31294
2025-05-15,109.35591
2025-05-16,110.55432
2025-05-17,110.545105
2025-05-18,110.23636
2025-05-19,111.20621
2025-05-20,112.63344
2025-05-21,113.01381
2025-05-22,112.545975
2025-05-23,113.3764
2025-05-24,112.94307
2025-05-25,112.84479
2025-05-26,112.518845
2025-05-27,114.08789
2025-05-28,112.902176
2025-05-29,113.71483
2025-05-30,121.759186
2025-05-31,112.73097
2025-06-01,118.86232
2025-06-02,120.259384
2025-06-03,119.00722
2025-06-04,117.90028
2025-06-05,117.59523
2025-06-06,116.77493
2025-06-07,112.60988
2025-06-08,112.51993
2025-06-09,107.594986
2025-06-10,105.98259
2025-06-11,106.85881
2025-06-12,108.107574
2025-06-13,107.65268
2025-06-14,105.084076
2025-06-15,107.15314
2025-06-16,104.413605
2025-06-17,105.945114
2025-06-18,103.932175
2025-06-19,104.29869
2025-06-20,106.275055
2025-06-21,104.85161
2025-06-22,105.271484
2025-06-23,105.375824
2025-06-24,105.24338
2025-06-25,105.999146
2025-06-26,106.60368
2025-06-27,108.0582
2025-06-28,105.99953
2025-06-29,108.02492
2025-06-30,111.136826
2025-07-01,114.98294
2025-07-02,116.87775
2025-07-03,113.670746
2025-07-04,112.13971
2025-07-05,113.30849
2025-07-06,111.27048
2025-07-07,110.171234
2025-07-08,107.86417
2025-07-09,107.86186
2025-07-10,107.794815
2025-07-11,108.53146
2025-07-12,109.99466
2025-07-13,110.1409
2025-07-14,108.63298
2025-07-15,106.92819
2025-07-16,107.439865
2025-07-17,107.76349
2025-07-18,107.404175
2025-07-19,109.724365
2025-07-20,109.04144
2025-07-21,108.738556
2025-07-22,106.98573
2025-07-23,107.75467
2025-07-24,107.169525
2025-07-25,107.101105
2025-07-26,108.831406
2025-07-27,108.07138
2025-07-28,107.37332
2025-07-29,107.183426
2025-07-30,107.53668
2025-07-31,106.01277
2025-08-01,98.28035
2025-08-02,98.42319
