ds,yhat
2025-01-17,202.89
2025-01-18,188.34435
2025-01-19,186.0823
2025-01-20,186.90741
2025-01-21,181.74571
2025-01-22,200.44435
2025-01-23,201.89188
2025-01-24,190.6931
2025-01-25,179.3754
2025-01-26,173.35094
2025-01-27,174.34573
2025-01-28,172.85986
2025-01-29,203.08984
2025-01-30,204.24503
2025-01-31,217.743
2025-02-01,197.0364
2025-02-02,194.76103
2025-02-03,201.08199
2025-02-04,199.51323
2025-02-05,205.97113
2025-02-06,213.9325
2025-02-07,210.2467
2025-02-08,214.22665
2025-02-09,209.04143
2025-02-10,205.94739
2025-02-11,208.2291
2025-02-12,212.23055
2025-02-13,219.6732
2025-02-14,216.01102
2025-02-15,219.56535
2025-02-16,214.71674
2025-02-17,207.37607
2025-02-18,206.01175
2025-02-19,208.04056
2025-02-20,211.96411
2025-02-21,207.83743
2025-02-22,206.83098
2025-02-23,203.41405
2025-02-24,193.40659
2025-02-25,204.89209
2025-02-26,211.72464
2025-02-27,215.54807
2025-02-28,218.8602
2025-03-01,223.46371
2025-03-02,222.56946
2025-03-03,220.76341
2025-03-04,217.5311
2025-03-05,217.97919
2025-03-06,226.15158
2025-03-07,228.23988
2025-03-08,238.30058
2025-03-09,235.78764
2025-03-10,227.31003
2025-03-11,227.53328
2025-03-12,226.51387
2025-03-13,240.2428
2025-03-14,243.23944
2025-03-15,253.51761
2025-03-16,251.92542
2025-03-17,239.44276
2025-03-18,235.49223
2025-03-19,229.99606
2025-03-20,240.17348
2025-03-21,242.01064
2025-03-22,247.97922
2025-03-23,246.60391
2025-03-24,231.77118
2025-03-25,238.14807
2025-03-26,236.75479
2025-03-27,240.99715
2025-03-28,245.63394
2025-03-29,253.56241
2025-03-30,241.74573
2025-03-31,195.0511
2025-04-01,251.3899
2025-04-02,244.65533
2025-04-03,239.68405
2025-04-04,243.14296
2025-04-05,229.9771
2025-04-06,238.64203
2025-04-07,248.93732
2025-04-08,245.4354
2025-04-09,239.59952
2025-04-10,235.54099
2025-04-11,232.45995
2025-04-12,218.32776
2025-04-13,227.18283
2025-04-14,233.13576
2025-04-15,235.65015
2025-04-16,233.07822
2025-04-17,223.34904
2025-04-18,224.7677
2025-04-19,217.53027
2025-04-20,232.07623
2025-04-21,240.21043
2025-04-22,236.23242
2025-04-23,238.09766
2025-04-24,230.61023
2025-04-25,225.29378
2025-04-26,219.0998
2025-04-27,230.7003
2025-04-28,233.04155
2025-04-29,237.59232
2025-04-30,228.4196
2025-05-01,237.49573
2025-05-02,240.53677
2025-05-03,222.01111
2025-05-04,232.28516
2025-05-05,225.23985
2025-05-06,227.0422
2025-05-07,233.63425
2025-05-08,239.65921
2025-05-09,236.9216
2025-05-10,228.79425
2025-05-11,225.71777
2025-05-12,228.92691
2025-05-13,223.9696
2025-05-14,233.11942
2025-05-15,242.41336
2025-05-16,241.72769
2025-05-17,234.13324
2025-05-18,236.71284
2025-05-19,242.27838
2025-05-20,236.57077
2025-05-21,242.13647
2025-05-22,246.44742
2025-05-23,250.5029
2025-05-24,236.54651
2025-05-25,238.07721
2025-05-26,245.51729
2025-05-27,234.00735
2025-05-28,241.78188
2025-05-29,244.84105
2025-05-30,239.89764
2025-05-31,269.58127
2025-06-01,275.82568
2025-06-02,264.11133
2025-06-03,250.55164
2025-06-04,247.44308
2025-06-05,236.81528
2025-06-06,245.5519
2025-06-07,251.68803
2025-06-08,256.45898
2025-06-09,248.30414
2025-06-10,238.64275
2025-06-11,237.13351
2025-06-12,229.80466
2025-06-13,233.61777
2025-06-14,242.93637
2025-06-15,249.73798
2025-06-16,241.00665
2025-06-17,223.60382
2025-06-18,223.25533
2025-06-19,218.71756
2025-06-20,225.70673
2025-06-21,236.50122
2025-06-22,236.96115
2025-06-23,231.91014
2025-06-24,226.90552
2025-06-25,224.12813
2025-06-26,218.40582
2025-06-27,231.84389
2025-06-28,238.8103
2025-06-29,243.56888
2025-06-30,235.51056
2025-07-01,239.33606
2025-07-02,234.05687
2025-07-03,220.29327
2025-07-04,224.4428
2025-07-05,216.73384
2025-07-06,226.58359
2025-07-07,233.41837
2025-07-08,234.00633
2025-07-09,232.0953
2025-07-10,225.4318
2025-07-11,226.4486
2025-07-12,220.32144
2025-07-13,230.25275
2025-07-14,231.65497
2025-07-15,242.01018
