ds,yhat
2025-01-17,3.0588999
2025-01-18,3.0240214
2025-01-19,3.0137053
2025-01-20,2.9647374
2025-01-21,2.9452684
2025-01-22,3.2225075
2025-01-23,3.2396286
2025-01-24,3.0585132
2025-01-25,3.0289924
2025-01-26,2.9977634
2025-01-27,2.9279578
2025-01-28,2.90747
2025-01-29,3.2034125
2025-01-30,3.184498
2025-01-31,3.0881112
2025-02-01,3.0358405
2025-02-02,3.0411315
2025-02-03,3.07972
2025-02-04,3.0535753
2025-02-05,3.0396888
2025-02-06,3.055904
2025-02-07,3.086754
2025-02-08,3.0985477
2025-02-09,3.0429049
2025-02-10,3.0951374
2025-02-11,3.0554824
2025-02-12,3.067197
2025-02-13,3.0932312
2025-02-14,3.1019924
2025-02-15,3.118967
2025-02-16,3.1130266
2025-02-17,3.2088985
2025-02-18,3.1722803
2025-02-19,3.1718326
2025-02-20,3.1886537
2025-02-21,3.1979551
2025-02-22,3.2089803
2025-02-23,3.1646147
2025-02-24,3.2197318
2025-02-25,3.1886327
2025-02-26,3.1823575
2025-02-27,3.191527
2025-02-28,3.2520897
2025-03-01,3.1267717
2025-03-02,3.1429925
2025-03-03,3.1764193
2025-03-04,3.1441023
2025-03-05,3.1222136
2025-03-06,3.131903
2025-03-07,3.1627932
2025-03-08,3.1782365
2025-03-09,3.136133
2025-03-10,3.1844392
2025-03-11,3.14342
2025-03-12,3.1461885
2025-03-13,3.1701593
2025-03-14,3.1721232
2025-03-15,3.1870067
2025-03-16,3.1842997
2025-03-17,3.2634363
2025-03-18,3.2223504
2025-03-19,3.2171812
2025-03-20,3.2365987
2025-03-21,3.2437491
2025-03-22,3.2594004
2025-03-23,3.230478
2025-03-24,3.2802367
2025-03-25,3.2460604
2025-03-26,3.2326572
2025-03-27,3.241944
2025-03-28,3.2963579
2025-03-29,3.3248768
2025-03-30,3.27318
2025-03-31,3.4413927
2025-04-01,3.3238292
2025-04-02,3.2872508
2025-04-03,3.2614985
2025-04-04,3.2517495
2025-04-05,3.257157
2025-04-06,3.224644
2025-04-07,3.2979062
2025-04-08,3.2589726
2025-04-09,3.237789
2025-04-10,3.232097
2025-04-11,3.241061
2025-04-12,3.2294235
2025-04-13,3.1842396
2025-04-14,3.289507
2025-04-15,3.19671
2025-04-16,3.2363007
2025-04-17,3.1625996
2025-04-18,3.1295934
2025-04-19,3.130943
2025-04-20,3.169541
2025-04-21,3.1509728
2025-04-22,3.1396427
2025-04-23,3.1400635
2025-04-24,3.1210968
2025-04-25,3.1182995
2025-04-26,3.1268983
2025-04-27,3.1428132
2025-04-28,3.1348
2025-04-29,3.1249835
2025-04-30,3.1034825
2025-05-01,3.187895
2025-05-02,3.1534722
2025-05-03,3.155245
2025-05-04,3.1823533
2025-05-05,3.1278954
2025-05-06,3.154721
2025-05-07,3.1628406
2025-05-08,3.1682503
2025-05-09,3.1508064
2025-05-10,3.151402
2025-05-11,3.1862311
2025-05-12,3.1567466
2025-05-13,3.1730347
2025-05-14,3.1660457
2025-05-15,3.1846542
2025-05-16,3.1237059
2025-05-17,3.1059136
2025-05-18,3.1248984
2025-05-19,3.1472132
2025-05-20,3.12436
2025-05-21,3.1333969
2025-05-22,3.1481793
2025-05-23,3.1387765
2025-05-24,3.118589
2025-05-25,3.1326582
2025-05-26,3.1508133
2025-05-27,3.1238043
2025-05-28,3.1331334
2025-05-29,3.1299934
2025-05-30,3.1437378
2025-05-31,3.1468084
2025-06-01,3.4563007
2025-06-02,3.4636524
2025-06-03,3.343585
2025-06-04,3.2715747
2025-06-05,3.2406561
2025-06-06,3.2630448
2025-06-07,3.2697916
2025-06-08,3.3827758
2025-06-09,3.2658494
2025-06-10,3.2353544
2025-06-11,3.213688
2025-06-12,3.2439153
2025-06-13,3.2708573
2025-06-14,3.2515197
2025-06-15,3.3543391
2025-06-16,3.3448641
2025-06-17,3.2583606
2025-06-18,3.2112236
2025-06-19,3.2157624
2025-06-20,3.2320924
2025-06-21,3.2369666
2025-06-22,3.2528985
2025-06-23,3.278008
2025-06-24,3.2473931
2025-06-25,3.2138176
2025-06-26,3.217433
2025-06-27,3.2435005
2025-06-28,3.267064
2025-06-29,3.2884378
2025-06-30,3.3226805
2025-07-01,3.272401
2025-07-02,3.2546809
2025-07-03,3.232741
2025-07-04,3.2203202
2025-07-05,3.2252352
2025-07-06,3.192481
2025-07-07,3.2426116
2025-07-08,3.2228827
2025-07-09,3.213903
2025-07-10,3.214217
2025-07-11,3.2270033
2025-07-12,3.2297702
2025-07-13,3.228075
2025-07-14,3.3150744
2025-07-15,3.2420392
