Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-02-05,7.24,7.252,6.861,6.985,3416697.21,1675641599999,24029442.25939,79083,1630683.17,11466784.46979,0
2023-02-06,6.985,7.063,6.765,6.832,3504454.35,1675727999999,24368382.10801,71794,1717369.8,11943763.52709,0
2023-02-07,6.831,7.214,6.814,7.197,4543771.59,1675814399999,31940844.58184,87292,2169759.18,15247326.48258,0
2023-02-08,7.199,7.3,6.952,7.136,4910694.89,1675900799999,35202886.85344,93463,2294276.44,16451503.06768,0
2023-02-09,7.137,7.817,6.818,6.984,18751956.03,1675987199999,139108115.06778,387770,9191981.35,68214721.01859,0
2023-02-10,6.983,7.12,6.777,6.89,6619057.31,1676073599999,45977522.77328,152760,3118407.28,21669693.44845,0
2023-02-11,6.889,7.036,6.853,7.003,2293574.29,1676159999999,15897589.82762,56057,1119094.86,7757132.42538,0
2023-02-12,7.003,7.09,6.685,6.808,3320809.33,1676246399999,23000593.11427,77871,1546445.67,10725855.84772,0
2023-02-13,6.81,6.847,6.4,6.669,5424849.87,1676332799999,35797891.451,134450,2381107.05,15724466.46569,0
2023-02-14,6.669,6.832,6.527,6.808,4395799.03,1676419199999,29402031.08378,96495,2126212.18,14225090.08336,0
2023-02-15,6.808,7.31,6.726,7.281,5174614.29,1676505599999,36181020.0506,101980,2535906.99,17716584.26656,0
2023-02-16,7.28,7.495,6.997,7.011,8199081.68,1676591999999,59698915.45343,161363,4037955.92,29424728.84143,0
2023-02-17,7.011,7.711,6.972,7.65,8097968.31,1676678399999,59820622.23835,158332,4002785.28,29556659.68211,0
2023-02-18,7.649,8.256,7.495,7.989,11389046.79,1676764799999,90689528.98713,218859,5740952.32,45715331.94662,0
2023-02-19,7.986,8.289,7.82,8.014,9416026.58,1676851199999,75998996.05408,204560,4590665.77,37075376.47107,0
2023-02-20,8.01,8.4,7.721,8.017,8065377.47,1676937599999,65299250.76544,186099,3980396.61,32230872.45536,0
2023-02-21,8.019,8.077,7.505,7.64,5893974.86,1677023999999,45835031.50449,122144,2742629.02,21320661.70392,0
2023-02-22,7.641,7.752,7.294,7.717,6496942.59,1677110399999,48803507.79223,137512,3204411.54,24093536.09892,0
2023-02-23,7.717,8.21,7.67,7.935,10150106.82,1677196799999,80670114.08024,215511,5083895.06,40391739.30044,0
2023-02-24,7.937,8.149,7.22,7.466,9713019.08,1677283199999,75162145.09463,243030,4892935.33,37938936.85877,0
2023-02-25,7.466,7.491,7.168,7.373,4277893.98,1677369599999,31404475.91232,113972,1826112.6,13407151.28462,0
2023-02-26,7.371,7.548,7.293,7.497,2541969.05,1677455999999,18856092.10065,66715,1248021.75,9253656.91157,0
2023-02-27,7.494,7.508,7.121,7.274,4004585.73,1677542399999,29286764.82945,100711,1839876.55,13462996.2489,0
2023-02-28,7.274,7.422,7.096,7.195,4034405.79,1677628799999,29419842.87225,97297,1844099.44,13452222.39683,0
2023-03-01,7.196,7.547,7.146,7.536,3750777.74,1677715199999,27768618.58261,87704,1949419.7,14440367.28834,0
2023-03-02,7.536,7.585,7.163,7.275,2870686.88,1677801599999,20987481.36674,72266,1335306.86,9766207.08799,0
2023-03-03,7.275,7.276,6.655,6.958,5309534.51,1677887999999,36480196.78213,123692,2351087.44,16147444.08089,0
2023-03-04,6.958,7.011,6.708,6.857,2738464.51,1677974399999,18824654.48917,64299,1260114.43,8662641.44054,0
2023-03-05,6.857,7.017,6.807,6.945,1968494.16,1678060799999,13658001.79348,52176,967899.01,6716336.83111,0
2023-03-06,6.946,6.981,6.819,6.854,2608480.81,1678147199999,17978200.71398,61567,1272628.75,8771653.02894,0
2023-03-07,6.857,6.974,6.667,6.881,3015787.65,1678233599999,20542030.2261,69549,1383862.33,9427203.03658,0
2023-03-08,6.884,6.948,6.494,6.577,4098815.39,1678319999999,27510464.06733,100792,2017122.57,13545317.59633,0
2023-03-09,6.578,6.69,6.007,6.16,5988809.54,1678406399999,38140540.92253,125513,2736413.39,17450389.40461,0
2023-03-10,6.161,6.264,5.89,6.215,6622037.72,1678492799999,40558501.03733,139867,3316072.71,20316779.56333,0
2023-03-11,6.214,6.392,5.92,6.162,5658192.38,1678579199999,34587171.82137,131411,2762386.38,16891542.96008,0
2023-03-12,6.161,6.574,6.07,6.551,4811076.25,1678665599999,30170146.64141,106663,2384905.19,14962299.47182,0
2023-03-13,6.552,6.885,6.395,6.761,7817274.03,1678751999999,51948034.91692,168544,4016459.97,26697964.82098,0
2023-03-14,6.76,7.2,6.608,6.96,8906153.46,1678838399999,61574401.71164,204145,4371204.64,30216453.82156,0
2023-03-15,6.959,7.11,6.379,6.546,6800328.84,1678924799999,45730101.22589,178019,3272961.55,22055912.00735,0
2023-03-16,6.546,6.678,6.443,6.656,3617223.3,1679011199999,23828025.7148,109394,1725633.26,11369471.31181,0
2023-03-17,6.656,7.258,6.597,7.207,6885611.19,1679097599999,48176993.16447,157259,3469671.05,24284118.69236,0
2023-03-18,7.206,7.299,6.85,6.922,5649288.39,1679183999999,40291430.98778,136009,2673318.05,19072830.75902,0
2023-03-19,6.922,7.281,6.916,7.081,3603006.94,1679270399999,25619028.29212,98411,1821311.77,12954442.65844,0
2023-03-20,7.081,7.48,6.91,7.05,8993047.32,1679356799999,64932408.53673,225263,4630552.55,33453154.62342,0
2023-03-21,7.05,7.47,6.838,7.375,6546284.62,1679443199999,47034209.42232,169380,3233100.05,23251851.47436,0
2023-03-22,7.375,7.723,7.001,7.173,12062579.73,1679529599999,89425523.05166,288515,6240084.19,46292207.6817,0
2023-03-23,7.173,7.637,7.086,7.61,5950130.81,1679615999999,44172430.96029,137801,3084106.03,22901774.82389,0
2023-03-24,7.608,7.659,7.111,7.191,4842235.46,1679702399999,35722855.94783,118345,2225661.37,16433293.23028,0
2023-03-25,7.191,7.254,6.97,7.075,3022565.33,1679788799999,21478926.48334,70405,1449266.12,10306449.81635,0
2023-03-26,7.074,7.29,7.049,7.261,1964988.21,1679875199999,14143893.95785,46502,982638.31,7072594.71558,0
2023-03-27,7.26,7.274,6.747,6.87,4551721.99,1679961599999,31727920.31528,95050,2046220.41,14277678.12054,0
2023-03-28,6.871,7.046,6.75,6.947,4084989.03,1680047999999,28070389.00778,84301,1925745.7,13231920.09344,0
2023-03-29,6.947,7.499,6.927,7.382,5824927.72,1680134399999,42347891.15739,117030,3003236.52,21838117.39219,0
