Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-02-07,95.92,101.58,95.89,100.86,672704.474,1675814399999,66739989.81215,143088,329997.607,32739930.3207,0
2023-02-08,100.85,102.41,96.86,99.22,559839.764,1675900799999,56023244.88391,116398,273327.443,27341397.56501,0
2023-02-09,99.2,99.49,89.78,92.05,930317.558,1675987199999,88021370.47002,178579,436900.006,41351811.41938,0
2023-02-10,92.06,94.17,90.99,93.34,641293.685,1676073599999,59268455.39955,136442,336729.591,31132974.54946,0
2023-02-11,93.32,94.83,92.63,94.28,359543.176,1676159999999,33704893.183,92056,171799.035,16105563.42987,0
2023-02-12,94.29,94.57,90.88,92.51,306598.202,1676246399999,28592092.59301,92068,144972.037,13525244.59469,0
2023-02-13,92.5,95.0,88.16,91.05,740201.598,1676332799999,67411715.62268,185514,402109.953,36625114.41022,0
2023-02-14,91.05,95.96,90.32,95.82,622092.631,1676419199999,58137805.04963,134537,312432.754,29203128.08663,0
2023-02-15,95.82,103.28,95.04,102.82,764436.261,1676505599999,75152233.52555,174466,406463.947,39926317.45086,0
2023-02-16,102.83,105.71,98.48,98.55,687509.194,1676591999999,70074736.82209,183319,356256.335,36323216.60975,0
2023-02-17,98.56,101.7,98.19,100.12,569585.278,1676678399999,56871701.90478,138844,282820.821,28245432.24042,0
2023-02-18,100.12,101.94,98.93,99.71,434788.196,1676764799999,43608817.37947,95328,201400.604,20207511.00661,0
2023-02-19,99.71,101.5,96.72,97.43,433963.156,1676851199999,43055844.61768,105754,203775.363,20224372.52059,0
2023-02-20,97.43,98.72,94.39,95.9,935281.523,1676937599999,90566542.68504,196259,372349.028,36057442.23553,0
2023-02-21,95.9,96.81,91.42,93.8,739676.014,1677023999999,69609024.07196,147891,353921.052,33314664.40273,0
2023-02-22,93.81,95.56,91.57,95.28,693131.993,1677110399999,65190388.41716,151773,345788.505,32525980.57378,0
2023-02-23,95.26,96.28,93.31,94.59,474230.846,1677196799999,44999136.0659,107405,230757.173,21897895.86397,0
2023-02-24,94.6,95.28,90.0,91.55,501375.88,1677283199999,46365569.64527,117921,231047.438,21400316.82852,0
2023-02-25,91.56,93.51,90.34,93.15,426347.651,1677369599999,39139444.45961,104493,219105.43,20115763.94682,0
2023-02-26,93.14,95.54,92.77,95.27,343656.079,1677455999999,32353597.36215,85811,175252.393,16504149.61435,0
2023-02-27,95.26,96.09,92.4,94.07,390505.03,1677542399999,36874109.12104,92018,185442.998,17515439.78802,0
2023-02-28,94.07,96.02,93.02,93.8,380334.634,1677628799999,35920634.83761,87961,194509.018,18373768.8133,0
2023-03-01,93.79,98.37,93.56,97.78,578624.04,1677715199999,56044405.1997,123741,310759.013,30096755.1544,0
2023-03-02,97.77,98.33,93.89,95.39,531837.148,1677801599999,50971274.63378,94017,270054.869,25891886.28034,0
2023-03-03,95.39,95.52,85.3,90.56,932908.772,1677887999999,83331577.54116,180779,421471.744,37638239.08684,0
2023-03-04,90.56,90.85,87.4,89.34,347999.151,1677974399999,31120476.32455,78222,167864.454,15008327.41757,0
2023-03-05,89.34,91.78,89.18,89.93,358378.991,1678060799999,32483423.88116,81906,175910.999,15941806.84481,0
2023-03-06,89.93,90.63,86.4,87.36,628899.913,1678147199999,55427481.44233,118369,297938.178,26267537.43051,0
2023-03-07,87.35,88.95,84.0,86.29,642884.79,1678233599999,55523394.99337,143197,307572.592,26575808.06321,0
2023-03-08,86.3,86.71,81.3,82.76,625642.83,1678319999999,52617033.63605,131537,301607.883,25378464.60427,0
2023-03-09,82.75,84.96,75.0,76.68,1098081.742,1678406399999,87650493.39311,217957,484859.902,38834978.43276,0
2023-03-10,76.69,76.85,67.97,71.37,1958666.309,1678492799999,140414084.99189,360472,931793.816,66718588.01531,0
2023-03-11,71.39,73.83,65.0,69.21,1897147.773,1678579199999,130337698.03206,338547,919740.251,63135006.97708,0
2023-03-12,69.21,76.42,67.39,76.26,1393380.049,1678665599999,97923475.125,241392,681118.84,47886216.14453,0
2023-03-13,76.25,83.19,74.0,81.46,1843523.521,1678751999999,144927403.88863,359360,962102.168,75613434.13251,0
2023-03-14,81.45,88.24,79.17,83.94,1368971.071,1678838399999,114954635.80917,282248,702744.087,59065546.56673,0
2023-03-15,83.92,85.44,75.0,76.43,1324587.202,1678924799999,105921837.58411,297614,605786.947,48555783.48488,0
2023-03-16,76.43,79.87,75.58,78.86,792504.712,1679011199999,62038247.7416,187977,379647.096,29712135.82326,0
2023-03-17,78.85,85.57,78.16,85.51,935169.321,1679097599999,77076815.35155,205505,469225.509,38672648.72607,0
2023-03-18,85.51,87.92,81.88,83.02,990444.094,1679183999999,84864126.11204,206783,479137.662,41067073.46365,0
2023-03-19,83.01,86.39,82.11,83.98,612655.582,1679270399999,51632290.94863,139615,312150.228,26310940.03696,0
2023-03-20,83.99,84.3,77.72,78.05,943193.308,1679356799999,76966171.58554,209061,455673.662,37198141.79938,0
2023-03-21,78.04,83.48,76.71,82.48,906639.731,1679443199999,73116475.41539,187072,460688.139,37177129.83057,0
2023-03-22,82.48,88.31,79.0,87.27,1760098.981,1679529599999,145873400.72163,394369,878170.928,72846236.90581,0
2023-03-23,87.25,94.54,85.58,93.61,1868065.227,1679615999999,168804310.48897,368532,955181.625,86309666.37708,0
2023-03-24,93.61,95.98,89.07,93.58,1325987.089,1679702399999,122680941.68945,268715,652621.299,60450507.21296,0
2023-03-25,93.58,94.31,90.01,91.5,684739.493,1679788799999,63230111.95689,156014,339970.736,31386488.72976,0
2023-03-26,91.49,94.81,90.54,93.32,588285.448,1679875199999,54896396.14174,128306,295417.848,27564152.5017,0
2023-03-27,93.32,94.1,87.66,89.23,764069.755,1679961599999,69048316.60065,187433,358377.713,32404190.31446,0
2023-03-28,89.24,89.59,85.56,89.13,881860.674,1680047999999,76831526.97625,189080,404229.801,35229157.235,0
2023-03-29,89.13,93.0,88.93,91.31,708985.063,1680134399999,64736574.13921,149870,347909.108,31772612.19123,0
2023-03-30,91.31,93.34,86.66,89.06,751300.11,1680220799999,67463200.28549,182463,342463.588,30771790.26624,0
2023-03-31,89.06,90.27,87.23,89.57,489786.451,1680307199999,43630688.75647,113308,238562.393,21252200.3956,0
2023-04-01,89.56,94.32,89.34,92.57,687331.248,1680393599999,63779147.85425,163856,341719.515,31719993.11291,0
2023-04-02,92.57,94.58,90.36,92.77,641228.631,1680479999999,59580821.73877,152824,312887.991,29088509.46554,0
2023-04-03,92.77,95.9,89.51,92.97,909253.989,1680566399999,84054306.47298,224375,459988.917,42561980.49833,0
2023-04-04,92.97,94.12,91.57,92.58,505371.32,1680652799999,46914251.08333,129482,246010.541,22843984.88585,0
2023-04-05,92.57,95.05,91.11,92.64,690226.2,1680739199999,64439443.89972,150835,310234.561,28992109.33147,0
2023-04-06,92.63,92.65,89.82,90.97,385392.357,1680825599999,35163280.68266,104166,172581.335,15755026.15415,0
2023-04-07,90.97,91.48,89.03,90.6,301548.406,1680911999999,27226149.26583,86862,141293.641,12758279.94457,0
2023-04-08,90.6,91.44,89.24,89.91,199093.068,1680998399999,17997469.63238,64741,93402.364,8444874.92063,0
2023-04-09,89.91,91.03,89.13,90.58,253822.749,1681084799999,22870804.77552,71851,129811.83,11696991.03598,0
2023-04-10,90.56,94.47,89.84,93.78,522079.986,1681171199999,48123183.04686,120291,267713.748,24695280.46896,0
2023-04-11,93.78,97.0,93.15,94.22,759225.859,1681257599999,72247222.54666,160036,377801.467,35952119.05718,0
2023-04-12,94.22,94.66,90.87,92.06,713535.198,1681343999999,65699122.07928,152772,329631.348,30361291.10164,0
2023-04-13,92.07,94.54,91.66,94.17,607464.042,1681430399999,56921058.5361,110498,315532.6,29566771.74278,0
2023-04-14,94.18,99.27,93.66,96.33,1044641.036,1681516799999,100928750.68937,197030,490215.487,47347758.53957,0
2023-04-15,96.31,97.32,94.71,96.68,343222.287,1681603199999,32983996.9542,82845,163497.896,15713845.37996,0
2023-04-16,96.69,102.18,95.1,100.01,902441.243,1681689599999,89438277.03401,188285,424310.418,42068456.61578,0
2023-04-17,100.0,100.3,97.32,98.84,692952.157,1681775999999,68450947.53389,138532,335786.585,33175101.41901,0
2023-04-18,98.88,103.44,97.6,101.95,817576.045,1681862399999,82975542.30109,172976,402879.765,40881581.49943,0
2023-04-19,101.93,101.93,87.0,90.47,1258566.956,1681948799999,119543818.25875,271165,622858.526,59118489.51322,0
2023-04-20,90.46,92.4,87.08,90.22,923591.763,1682035199999,83156604.63114,206219,446291.086,40201825.30371,0
2023-04-21,90.22,90.89,84.2,85.32,811762.122,1682121599999,71630177.63482,174554,369039.068,32597380.88281,0
2023-04-22,85.32,87.15,84.75,87.0,413059.798,1682207999999,35568420.52853,100830,216246.181,18619506.39901,0
2023-04-23,87.0,87.09,84.11,86.75,395182.074,1682294399999,34038304.30605,99432,181196.077,15608746.41093,0
2023-04-24,86.74,89.03,85.86,88.31,651422.316,1682380799999,57038650.62963,136167,310427.879,27183645.56648,0
2023-04-25,88.32,91.77,87.18,91.03,767570.935,1682467199999,68671079.44959,159522,374804.12,33541734.24452,0
2023-04-26,91.03,93.96,84.21,88.13,985517.498,1682553599999,88783082.53106,229638,467369.642,42151250.15836,0
2023-04-27,88.14,90.64,87.26,89.73,669510.161,1682639999999,59639460.06927,149332,327356.496,29169432.06127,0
2023-04-28,89.73,90.36,87.66,89.63,464509.676,1682726399999,41454599.35748,115776,240776.617,21492177.32618,0
2023-04-29,89.62,91.64,89.23,91.08,351205.815,1682812799999,31719262.50321,93072,184027.445,16622698.20471,0
2023-04-30,91.08,91.43,87.76,88.22,396494.58,1682899199999,35647081.50118,110052,185784.089,16723682.7824,0
2023-05-01,88.24,88.86,85.13,86.75,537906.62,1682985599999,46754880.2517,109613,253498.558,22034638.65472,0
2023-05-02,86.76,89.18,86.0,88.2,425254.867,1683071999999,37377898.53279,108466,220777.738,19407048.71975,0
2023-05-03,88.2,89.86,85.4,88.88,561552.261,1683158399999,49020724.2314,137984,277045.36,24212368.50962,0
2023-05-04,88.88,89.15,87.39,88.38,317092.93,1683244799999,27965302.53823,79121,146016.527,12878674.49497,0
2023-05-05,88.39,89.69,86.16,88.61,462767.029,1683331199999,40810211.80393,98382,225874.884,19923632.34698,0
2023-05-06,88.62,89.36,80.56,83.26,808799.894,1683417599999,68317613.37673,156273,382126.589,32256514.96411,0
2023-05-07,83.27,84.69,82.93,83.42,405461.481,1683503999999,33955742.0686,83519,199798.816,16735751.58077,0
2023-05-08,83.41,85.25,75.2,77.71,1093958.201,1683590399999,87306474.35932,201872,511601.11,40833896.16996,0
2023-05-09,77.72,80.1,77.31,79.9,652411.76,1683676799999,51396156.09515,118001,304596.072,23999042.68605,0
