ds,Open,High,Low,y,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,High_Low_Diff,Open_Close_Diff,Average_Price,Volume_Weighted_Price,Triple_Multiplicative_ETS,Triple_Additive_ETS,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-21,305.1,309.9,298.4,299.0,508000.024,1674345599999,154262036.4891,335988,255840.436,77722693.9156,11.5,6.100000000000023,302.43333333333334,303.6654118132483,322.9759878670833,298.45810029853135,299.30546756,263.3058913704332,364.5110078399178,299.30546756,299.30546756,15.893095640691815,15.893095640691815,15.893095640691815,15.147042992,15.147042992,15.147042992,0.7460526486918124,0.7460526486918124,0.7460526486918124,0.0,0.0,0.0,315.1985632006918
2023-01-22,299.1,311.4,298.5,303.0,388815.192,1674431999999,118074364.3441,296818,196176.904,59600607.8585,12.899999999999977,-3.8999999999999773,304.3,303.677342792974,300.5807186450118,297.56260760145807,299.2794716865589,262.3307308091914,368.079874018737,299.2794716865589,299.2794716865589,15.093046901555724,15.093046901555724,15.093046901555724,15.147042992,15.147042992,15.147042992,-0.053996090444275946,-0.053996090444275946,-0.053996090444275946,0.0,0.0,0.0,314.37251858811464
2023-01-23,303.1,307.8,300.8,305.1,301946.005,1674518399999,92048016.7507,263527,155960.642,47553823.4512,7.0,-2.0,304.56666666666666,304.84926187614235,292.49668979399826,291.18173309605555,299.2534758131178,257.85858026428093,363.48575971615224,299.2534758131178,299.2534758131178,14.353763287514345,14.353763287514345,14.353763287514345,15.147042992,15.147042992,15.147042992,-0.7932797044856552,-0.7932797044856552,-0.7932797044856552,0.0,0.0,0.0,313.60723910063217
2023-01-24,305.2,323.5,299.2,300.3,629758.279,1674604799999,197286790.1894,403898,309769.774,97067733.7981,24.30000000000001,4.899999999999977,307.6666666666667,313.273833418552,299.4550687725919,300.8923891884691,299.22747993967675,261.9661308490104,362.13725971286294,299.22747993967675,299.22747993967675,13.796166647142199,13.796166647142199,13.796166647142199,15.147042992,15.147042992,15.147042992,-1.3508763448578014,-1.3508763448578014,-1.3508763448578014,0.0,0.0,0.0,313.0236465868189
2023-01-25,300.3,314.0,293.4,306.9,447238.539,1674691199999,135182951.9563,317506,227118.78,68644674.9363,20.600000000000023,-6.599999999999966,304.76666666666665,302.2614112338382,312.18915148533677,315.0528452334375,299.2014840662356,262.83981486574845,371.9786055496962,299.2014840662356,299.2014840662356,15.809747455695344,15.809747455695344,15.809747455695344,15.147042992,15.147042992,15.147042992,0.6627044636953442,0.6627044636953442,0.6627044636953442,0.0,0.0,0.0,315.01123152193094
2023-01-26,306.9,309.5,301.6,304.7,342344.705,1674777599999,104832628.0488,263764,170220.665,52132060.2226,7.899999999999977,2.1999999999999886,305.26666666666665,306.2195106794481,306.38880110928847,306.8301917117983,299.17548819279455,259.1011016607316,367.8458921948709,299.17548819279455,299.17548819279455,15.16442974852068,15.16442974852068,15.16442974852068,15.147042992,15.147042992,15.147042992,0.017386756520679697,0.017386756520679697,0.017386756520679697,0.0,0.0,0.0,314.3399179413152
2023-01-27,304.8,310.5,298.8,308.0,271326.79,1674863999999,82710629.2353,240434,138274.598,42165021.3342,11.699999999999989,-3.1999999999999886,305.76666666666665,304.8376801837372,304.6463237913191,302.76240531190297,299.14949231935344,261.0334716559953,368.96107752904663,299.14949231935344,299.14949231935344,15.919051262888399,15.919051262888399,15.919051262888399,15.147042992,15.147042992,15.147042992,0.7720082708883983,0.7720082708883983,0.7720082708883983,0.0,0.0,0.0,315.06854358224183
2023-01-28,308.0,313.6,303.6,306.1,229517.8,1674950399999,70543615.9629,186520,115277.086,35430779.0794,10.0,1.8999999999999773,307.7666666666667,307.35575176696534,309.4322201371156,309.0198589445608,299.12349644591234,264.89137355030556,371.7832536556995,299.12349644591234,299.12349644591234,15.893095640689161,15.893095640689161,15.893095640689161,15.147042992,15.147042992,15.147042992,0.7460526486891608,0.7460526486891608,0.7460526486891608,0.0,0.0,0.0,315.0165920866015
2023-01-29,306.2,320.5,304.8,317.2,430698.673,1675036799999,135402894.4623,262551,212574.344,66831680.9454,15.699999999999989,-11.0,314.1666666666667,314.37964161617003,307.19008744155127,306.6175479647299,299.09750057247123,259.17553086936954,370.3066499620708,299.09750057247123,299.09750057247123,15.093046901553983,15.093046901553983,15.093046901553983,15.147042992,15.147042992,15.147042992,-0.05399609044601714,-0.05399609044601714,-0.05399609044601714,0.0,0.0,0.0,314.1905474740252
2023-01-30,317.1,320.8,302.0,307.2,413716.212,1675123199999,128037381.1261,310394,202140.896,62572558.2932,18.80000000000001,9.900000000000034,310.0,309.4811791569338,313.8418885400564,312.1716718813309,299.07150469903013,259.86305819691063,362.8895910935479,299.07150469903013,299.07150469903013,14.353763287511857,14.353763287511857,14.353763287511857,15.147042992,15.147042992,15.147042992,-0.7932797044881444,-0.7932797044881444,-0.7932797044881444,0.0,0.0,0.0,313.425267986542
