ds,Open,High,Low,y,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,High_Low_Diff,Open_Close_Diff,Average_Price,Volume_Weighted_Price,Triple_Multiplicative_ETS,Triple_Additive_ETS,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-02-07,95.92,101.58,95.89,100.86,672704.474,1675814399999,66739989.81215,143088,329997.607,32739930.3207,5.689999999999998,-4.939999999999998,99.44333333333333,99.21145524022484,102.34863619820125,100.76184535206951,99.01551119999999,77.93507040473958,110.89111428070609,99.01551119999999,99.01551119999999,-5.591554032145557,-5.591554032145557,-5.591554032145557,-5.2833414912,-5.2833414912,-5.2833414912,-0.3082125409455564,-0.3082125409455564,-0.3082125409455564,0.0,0.0,0.0,93.42395716785444
2023-02-08,100.85,102.41,96.86,99.22,559839.764,1675900799999,56023244.88391,116398,273327.443,27341397.56501,5.549999999999997,1.6299999999999955,99.49666666666667,100.07014236293155,103.27987955519129,102.82264092715789,98.95711900115226,77.05533446995464,108.51469284385104,98.95711900115226,98.95711900115226,-5.818179228952639,-5.818179228952639,-5.818179228952639,-5.2833414912,-5.2833414912,-5.2833414912,-0.5348377377526392,-0.5348377377526392,-0.5348377377526392,0.0,0.0,0.0,93.13893977219962
2023-02-09,99.2,99.49,89.78,92.05,930317.558,1675987199999,88021370.47002,178579,436900.006,41351811.41938,9.709999999999994,7.150000000000006,93.77333333333333,94.61432788525313,98.79878146073261,99.06517768565375,98.89872680230452,76.53765213031788,110.57354544690054,98.89872680230452,98.89872680230452,-5.5026527700000925,-5.5026527700000925,-5.5026527700000925,-5.2833414912,-5.2833414912,-5.2833414912,-0.21931127880009255,-0.21931127880009255,-0.21931127880009255,0.0,0.0,0.0,93.39607403230443
2023-02-10,92.06,94.17,90.99,93.34,641293.685,1676073599999,59268455.39955,136442,336729.591,31132974.54946,3.180000000000007,-1.2800000000000011,92.83333333333333,92.42014506902558,94.19010575711575,93.8517382322318,98.84033460345678,76.67786682781677,111.28922229519215,98.84033460345678,98.84033460345678,-4.713290876484902,-4.713290876484902,-4.713290876484902,-5.2833414912,-5.2833414912,-5.2833414912,0.5700506147150978,0.5700506147150978,0.5700506147150978,0.0,0.0,0.0,94.12704372697188
2023-02-11,93.32,94.83,92.63,94.28,359543.176,1676159999999,33704893.183,92056,171799.035,16105563.42987,2.200000000000003,-0.960000000000008,93.91333333333334,93.74365982404294,92.53882387446689,93.06587738399047,98.78194240460905,78.11503413067216,112.17085400646468,98.78194240460905,98.78194240460905,-4.804686206603256,-4.804686206603256,-4.804686206603256,-5.2833414912,-5.2833414912,-5.2833414912,0.4786552845967444,0.4786552845967444,0.4786552845967444,0.0,0.0,0.0,93.9772561980058
2023-02-12,94.29,94.57,90.88,92.51,306598.202,1676246399999,28592092.59301,92068,144972.037,13525244.59469,3.6899999999999977,1.7800000000000011,92.65333333333332,93.25590432852572,94.39925936335982,94.04809696574958,98.72355020576131,76.61999742635183,109.09010025353544,98.72355020576131,98.72355020576131,-5.059676409467822,-5.059676409467822,-5.059676409467822,-5.2833414912,-5.2833414912,-5.2833414912,0.22366508173217708,0.22366508173217708,0.22366508173217708,0.0,0.0,0.0,93.66387379629349
2023-02-13,92.5,95.0,88.16,91.05,740201.598,1676332799999,67411715.62268,185514,402109.953,36625114.41022,6.840000000000003,1.4500000000000028,91.40333333333332,91.07210225541826,90.82878908460603,90.96638155016616,98.66515800691357,76.15896217364929,109.32681015078,98.66515800691357,98.66515800691357,-5.493350914743824,-5.493350914743824,-5.493350914743824,-5.2833414912,-5.2833414912,-5.2833414912,-0.21000942354382454,-0.21000942354382454,-0.21000942354382454,0.0,0.0,0.0,93.17180709216974
2023-02-14,91.05,95.96,90.32,95.82,622092.631,1676419199999,58137805.04963,134537,312432.754,29203128.08663,5.640000000000001,-4.769999999999996,94.03333333333332,93.4552221847971,94.83820201157684,94.25477006353219,98.60676580806584,76.4666743086688,108.4422534119721,98.60676580806584,98.60676580806584,-5.591554032147116,-5.591554032147116,-5.591554032147116,-5.2833414912,-5.2833414912,-5.2833414912,-0.30821254094711614,-0.30821254094711614,-0.30821254094711614,0.0,0.0,0.0,93.01521177591873
2023-02-15,95.82,103.28,95.04,102.82,764436.261,1676505599999,75152233.52555,174466,406463.947,39926317.45086,8.239999999999995,-7.0,100.38,98.31066023377714,90.64811651219652,91.65494512363584,98.5483736092181,76.09712917259411,106.90122014929055,98.5483736092181,98.5483736092181,-5.818179228951808,-5.818179228951808,-5.818179228951808,-5.2833414912,-5.2833414912,-5.2833414912,-0.5348377377518085,-0.5348377377518085,-0.5348377377518085,0.0,0.0,0.0,92.7301943802663
2023-02-16,102.83,105.71,98.48,98.55,687509.194,1676591999999,70074736.82209,183319,356256.335,36323216.60975,7.22999999999999,4.280000000000001,100.91333333333334,101.9255268637033,96.5113453855436,97.28189739963973,98.48998141037036,77.36203859244812,108.83278805013326,98.48998141037036,98.48998141037036,-5.5026527699991385,-5.5026527699991385,-5.5026527699991385,-5.2833414912,-5.2833414912,-5.2833414912,-0.21931127879913867,-0.21931127879913867,-0.21931127879913867,0.0,0.0,0.0,92.98732864037122
